Candidate,Party,Votes
M B RAJESH,Communist Party of India (Marxist),412897
M P VEERENDRAKUMAR,Socialist Janata (Democratic),307597
SOBHASURENDRAN,Bharatiya Janata Party,136541
E S KHAJA HUSSAIN,SOCIAL DEMOCRATIC PARTY OF INDIA,12504
THENNILAPURAM RADHAKRISHNAN,Welfare Party Of India,8667
B PADMANABHAN,Aam Aadmi Party,4933
VEERENDRAKUMAR O P,Independent,3946
RAJESH S,Shivsena,2654
HARI ARUMBIL,Bahujan Samaj Party,2009
V S SHANAVAS,Independent,1946
SREEJITH,Independent,1416
ABHIMOD,Independent,1231
C.K. RAMAKRISHNAN,Independent,1092
ABOOBAKKER SIDHIKH,All India Trinamool Congress,828
PRADEEP,Independent,770
None of the Above,None of the Above,11291
