Candidate,Party,Votes
DADDAN MISHRA,Bharatiya Janata Party,345964
ATIQ AHMAD,Samajwadi Party,260051
LAL JI VERMA,Bahujan Samaj Party,194890
RIZWAN ZAHEER,Peace Party,101817
VINAY KUMAR PANDEY 'VINNU',Indian National Congress,20006
ARUN KUMAR,Independent,10083
RAM ADHAR,Independent,6278
VIJAY KUMAR,Independent,5542
PRAKSH CHANDRA MISHRA,Jan Sevak Party,4489
ARJUN YADAV,Independent,3730
TEJ BAHADUR,Independent,3474
SAXEN,Samyak Parivartan Party,3188
RAM SUDHI,Jan Shakti Ekta Party,2961
RATNESH,Aam Aadmi Party,2578
None of the Above,None of the Above,14587
