Candidate,Party,Votes
SUBRATA BAKSHI,All India Trinamool Congress,431715
TATHAGATA ROY,Bharatiya Janata Party,295376
NANDINI MUKHERJEE,Communist Party of India (Marxist),278414
MALA ROY,Indian National Congress,113453
OMPRAKASH PRAJAPATI,Bahujan Samaj Party,4564
ASHOKE BISWAS,Independent,4335
ZUBAIR RABBANI,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),3994
K. P. MD. SHARIF,Indian Union Muslim League,3776
SHAMALI DAS,Independent,3356
HITANGSHU BANERJEE,Amra Bangalee,2921
BADRI MONDAL,Independent,1844
MD. HESHAMUDDIN,Welfare Party Of India,1554
SYED MD WASIM RAZA,All India Minorities Front,1195
KARAN SINGH,Indian Justice Party,1103
RAVEENDRAN. T.P (RAVI PALOOR),Communist Party of India (Marxist-Leninist) Red Star,875
None of the Above,None of the Above,19504
