Candidate,Party,Votes
KESINENI SRINIVAS,Telugu Desam,592696
KONERU RAJENDRA PRASAD,Yuvajana Sramika Rythu Congress Party,517834
AVINASH DEVINENI,Indian National Congress,39751
KAMBALA. SUBRAHMANYAM (SASTRY),Welfare Party Of India,7538
ISHWARYA LAKSHMI CHINNAM,Jai Samaikyandhra Party,5296
CHIGURUPATI RAMALINGESWARA RAO,Bahujan Samaj Party,3579
HAR MOHINDER SINGH SAHANI,Aam Aadmi Party,3088
M.PHANI PRAKASH,Independent,2809
RAJA KUMARI GUNDAPANENI,Pyramid Party of India,2570
TATINENI SRINIVASA RAO,Independent,2456
DASARI VENKATA NAGESH,Independent,1873
SURAPANENI SARATBABU,Independent,1521
YARAM KATAM RAJU,Independent,1402
ALTAF ALI MOHAMED,Independent,1167
KONERU RAMACHANDRA PRASAD,Independent,1096
KONERU RAJENDRA PRASAD,Independent,1014
CHATRAGADDA PRATAP,Independent,950
SUNKARA KRISHNA MURTHY,Andhra Rastra Praja Samithi,803
V.R.K.MURTHY.,Independent,748
BOLISETTY HARIBABU,Independent,667
AHMED ANSARI SYED,Independent,504
P.V. KRISHNAIAH,Independent,423
None of the Above,None of the Above,5290
