Candidate,Party,Votes
JHINA HIKAKA,Biju Janata Dal,395109
GIRIDHAR GAMANG,Indian National Congress,375781
SIBASANKAR ULAKA,Bharatiya Janata Party,89788
PRASKA RENGA,Bahujan Samaj Party,34957
BANAMALI MAJHI,Ambedkarite Party of India,14854
LINGARAJ GOMANGO,Independent,13861
MEGHANADA SABAR,Communist Party of India (Marxist-Leninist) (Liberation),13343
PRAKASH HIKAKA,Communist Party of India (Marxist-Leninist) Red Star,9609
KAILASH SABARA,Samata Kranti Dal,8910
None of the Above,None of the Above,33232
