Candidate,Party,Votes
VIKRAM DEV USENDI,Bharatiya Janata Party,465215
FOOLODEVI NETAM,Indian National Congress,430057
RAMESH KUMAR GAWDE,Communist Party of India,23482
MAHENDRA GAWADE,Independent,14136
SANTOSH KUMAR DHRUW,Aam Aadmi Party,10606
RAMSAY KORRAM,Bahujan Samaj Party,9391
JAMUNA MANDAVI,Chhattisgarh Swabhiman Manch,8972
MALIK RAM THAKUR,Ambedkarite Party of India,8963
HEMLAL MARKAM,Gondvana Gantantra Party,7586
AMAL SAY SORI,Independent,6618
None of the Above,None of the Above,31917
