Candidate,Party,Votes
RAKESH SINGH,Bharatiya Janata Party,564609
VIVEK KRISHNA TANKHA,Indian National Congress,355970
AFTAB ALAM,Bahujan Samaj Party,16008
CAPTAIN HANFEE VEER CHAKRA,Aam Aadmi Party,15977
MOHD. ADIL,Indian Union Muslim League,9053
VIRENDRA KUMAR SHARMA,Independent,7164
VINAY KUMAR JAIN,Independent,6400
MANAK LAL GONTIYA,Ambedkarite Party of India,4261
NAVEEN JAIN (YOGACHARYA),Independent,2990
VIKRANT,Independent,2797
LAL DASH,Gondvana Gantantra Party,2234
DR. DHAI AKSHAR (RAKESH SONKAR),Independent,2007
DIGVIJAY SINGH (SENIOR JOURNLIST),Bhartiya Shakti Chetna Party,1852
MALKHAN PATEL,Independent,1562
ER. PRAVIN GAJBHIYE "DADA",Bahujan Mukti Party,1412
None of the Above,None of the Above,7888
