Candidate,Party,Votes
MANOJ TIWARI,Bharatiya Janata Party,596125
ANAND KUMAR,Aam Aadmi Party,452041
JAI PARKASH AGARWAL,Indian National Congress,214792
ABDUL SAMI SALMANI,Bahujan Samaj Party,28135
A.K. AGGARWAL,Agar Jan Party,3191
H.K. MAHENDRU,Independent,2419
DAN BAHADUR YADAV,Independent,1921
AMIT KUMAR SHARMA,Independent,1892
ALI HUSAN,Independent,1695
MUKESH KUMAR ARORA,Independent,1669
DINESH PAL SINGH,Independent,1263
MOHD. HASNAN KHAN,Jammu & Kashmir National Panthers Party,1257
MOHD. HASNAIN,Independent,879
VINAY,Bharatiya Sarvodaya Kranti Party,818
MOHD. ARIF SIDDIQUE,All India Trinamool Congress,784
ROSHAN ALI,National Loktantrik Party,745
HARSH KUMAR,Independent,663
OM DUTT SHARMA,Shivsena,658
DHARAMVEER SINGH,Rashtriya Ekta Party,601
PROF. NARENDERA SHARMA,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),508
RAJAN LAL,Bharatiya Republican Paksha,504
PRADESH KUMAR,Ambedkar National Congress,489
RAMESH SINGH SIRAL,Naya Daur Party,465
None of the Above,None of the Above,3824
