Candidate,Party,Votes
HARI OM PANDEY,Bharatiya Janata Party,432104
RAKESH PANDEY,Bahujan Samaj Party,292675
RAM MURTI VERMA,Samajwadi Party,234467
ASHOK SINGH,Indian National Congress,22775
SURESH KUMAR BAUDDH,Moulik Adhikar Party,7694
TIGER RAMNIHOR PATEL,Independent,7040
J.S. KASHYAP(JAHAR SINGH KASHYAP),Bahujan Mukti Party,6896
GOPAL NISHAD,Suheldev Bhartiya Samaj Party,5792
VINOD KUMAR TIWARI,Independent,4707
SREERAM,Most Backward Classes Of India,4138
BRIJESH KUMAR,Aam Aadmi Party,3025
SURENDRA KUMAR,Adarsh Rashtriya Vikas Party,2590
BALMUKUND DHURIYA,Communist Party of India (Marxist-Leninist) (Liberation),1942
RAM BAHAL VERMA,Samyak Parivartan Party,1137
None of the Above,None of the Above,7422
