Candidate,Party,Votes
MAHEISH GIRRI,Bharatiya Janata Party,572202
RAJMOHAN GANDHI,Aam Aadmi Party,381739
SANDEEP DIKSHIT,Indian National Congress,203240
MOHAMMAD SHAKEEL SAIFI,Bahujan Samaj Party,18575
MOHD SHAHID SIDDIQUI,All India Trinamool Congress,3894
ARUN THAKUR,Samyak Parivartan Party,1708
SHAKEEL AHMED,Jai Maha Bharath Party,1515
JAGANNATH TIWARI,Independent,1153
KUMAR VIVEK GAUTAM,Independent,978
PREM SINGH,Socialist Party (India),761
DEEPAK KUMAR,Independent,674
JAI RAM LAL,Jammu & Kashmir National Panthers Party,668
RAM BRIKSH MALL,Hindusthan Nirman Dal,527
MOHAMMED NAEEM,Independent,466
RAJESH,Ambedkar National Congress,422
MANJEET SINGH,Independent,415
PADAM CHAND,Independent,404
MANJU CHHIBBER,Republican Party of India (A),402
VIRENDRA MAYER,Samajwadi Janata Party (Rashtriya),395
OMPAL SINGH,Kalyankari Jantantrik Party,349
MOHD NASEER,Peace Party,339
PRAVEEN KUMAR,Bhartiya Jan Manch,325
DR. NABHIT KAPUR,Naya Daur Party,210
None of the Above,None of the Above,4975
