Candidate,Party,Votes
DR. KIRIT P SOLANKI,Bharatiya Janata Party,617104
ISHWARBAHI DHANABHAI MAKWANA,Indian National Congress,296793
J J MEVADA,Aam Aadmi Party,17332
CHAVDA MANSUKHBHAI NAGARBHAI,Bahujan Samaj Party,6205
SOLANKI VITTHALBHAI MAGANBHAI,Independent,2837
DR J G PARMAR,Bahujan Mukti Party,2564
NARENDRA SANKHALIYA,Loktantrik Samajwadi Party,1391
SOLANKI RAMESHBHAI DANABHAI,Independent,1256
AMRUT SONARA,Bahujan Suraksha Dal,941
AAYAR MULJIBHAI KHANABHAI,Independent,808
PARMAR HARJIVANBHAI KALABHAI,Independent,807
None of the Above,None of the Above,16571
