Candidate,Party,Votes
CHUDASAMA RAJESHBHAI NARANBHAI,Bharatiya Janata Party,513179
PUNJABHAI BHIMABHAI VANSH,Indian National Congress,377347
ATUL GOVINDBHAI SHEKHADA,Aam Aadmi Party,16674
HARILAL RANCHHODBHAI CHAUHAN,Independent,7574
SAIYED ALTAF HUSAIN ABDULLAH MIYAN,Independent,2717
SOLANKI HARIBHAI BOGHABHAI,Bahujan Mukti Party,2565
KADRI IBRAHIM SAIYED HUSEN,Samajwadi Party,2409
GADHIYA SOYEB HUSHENBHAI,Independent,1891
None of the Above,None of the Above,17022
