Candidate,Party,Votes
RAM CHARITRA NISHAD,Bharatiya Janata Party,438210
BHOLANATH ALIAS B.P. SAROJ,Bahujan Samaj Party,266055
TUFANI,Samajwadi Party,191387
TUFANI NISHAD,Indian National Congress,36275
SUBAS CHANDRA,Communist Party of India,18777
RAJ ALIAS VIRENDRA KUMAR SONKAR,Aam Aadmi Party,9223
SHRAVAN KUMAR PASWAN,Independent,7833
HARINATH,Independent,5279
RAJESH SONKAR,Independent,4362
OMPRAKASH ALIAS AMBEDKAR,Independent,2708
HARI,Suheldev Bhartiya Samaj Party,2669
SIKANDAR,Bahujan Mukti Party,2114
RAJESH,Janata Dal (United),1552
LALJI,Bhartiya Shakti Chetna Party,1543
SURESH GAUTAM,Adarsh Rashtriya Vikas Party,1467
None of the Above,None of the Above,8448
