Candidate,Party,Votes
SATYAPAL SINGH,Bharatiya Janata Party,360242
DR SHAFIQ- UR RAHMAN BARQ,Samajwadi Party,355068
AQEEL-UR -REHMAN KHAN,Bahujan Samaj Party,252640
DHARAM YADAV URF D.P.YADAV,Rashtriya Parivartan Dal,36134
ACHARYA PRAMOD KRISHNAM,Indian National Congress,16034
NUTAN VIJAY ADVOCATE,Independent,6686
DR. RASHID ALI,Peace Party,6376
MOHD ASLAM URF PASHA,Republican Party of India (A),3833
FIROZ HAIDER,Independent,3648
RASHID,Independent,2791
NANAD RAM KHADAGVANSHI,Independent,2322
AQEEL AHMAD,Independent,2005
REKHA DEVI YADAV,Sanyukt Samajwadi Dal,1565
None of the Above,None of the Above,7658
