Candidate,Party,Votes
VIRENDER KASHYAP,Bharatiya Janata Party,385973
MOHAN LAL BRAKTA,Indian National Congress,301786
SUBHASH CHANDER,Aam Aadmi Party,14233
JAGAT RAM,Communist Party of India (Marxist),11434
VIRENDER KUMAR KASHYAP,Independent,6173
GURNAM SINGH KOLI,Bahujan Samaj Party,5985
SHURVEER SINGH,Samajwadi Party,4385
None of the Above,None of the Above,7788
