Candidate,Party,Votes
JAYANT SINHA,Bharatiya Janata Party,406931
SAURABH NARAIN SINGH,Indian National Congress,247803
LOKNATH MAHTO,AJSU Party,156186
ARUN KUMAR MISHRA,Jharkhand Vikas Morcha (Prajatantrik),30408
BHUVNESHWAR PRASAD MEHTA,Communist Party of India,30326
BADRI GOPE,Independent,14555
JAVED ISLAM,Communist Party of India (Marxist-Leninist) (Liberation),8453
AJIT KUMAR SINGH,All India Trinamool Congress,8360
TETRI @ SHEELA DEVI,Bahujan Samaj Party,8159
PRAYAG PRASAD,Independent,8085
MITHILESH KUMAR DANGI,Aam Aadmi Party,7140
BALDEO GANJHU,Independent,5152
DR. DHIRENDRA KUMAR RAJ,Independent,4481
RAMESHWAR RAM KUSHWAHA,All India Forward Bloc,4423
MAHENDRA KISHOR MEHTA,Independent,3752
YASHPAL YADAV,Independent,3540
RAMAVTAR MAHTO,Independent,3365
MO. SHANUL HAQUE,Indian Union Muslim League,3189
PRAMOD KUMAR MAHTHA,Pragatisheel Magahi Samaj,3076
ABDUL RAHIM,Bahujan Mukti Party,2941
None of the Above,None of the Above,6827
