Candidate,Party,Votes
PRASANNA KUMAR PATASANI,Biju Janata Dal,439252
PRITHIVIRAJ HARICHANDAN,Bharatiya Janata Party,249775
BIJAY MOHANTY,Indian National Congress,145783
SUNJOY HANS,Aama Odisha Party,29505
BISMAYA MAHAPATRA,Aam Aadmi Party,7112
MANAS RANJAN MISHRA,Independent,3783
MADHU SUDAN YADAV,Bahujan Samaj Party,3457
RABINDRA NATH BEHERA,Samajwadi Party,1745
PRANA KRUSHNA DALABEHERA,Samruddha Odisha,1194
KULAMANI NAYAK,Proutist Bloc. India,1128
PRAMILA BEHERA,Communist Party of India (Marxist-Leninist) Red Star,948
None of the Above,None of the Above,8140
