Candidate,Party,Votes
BIJOYA CHAKRAVARTY,Bharatiya Janata Party,764985
MANASH BORAH,Indian National Congress,449201
GOPI NATH DAS,All India United Democratic Front,137254
BIRENDRA PRASAD BAISHYA,Asom Gana Parishad,86546
BENEDICT ALOK ARENG,Independent,12432
BIJU PHUKAN,All India Trinamool Congress,8162
PRADIP KALITA,Independent,7345
KAZI NEKIB AHMED,Regional Democratic Secular Congress,6636
ANIL BHAGAWATI,Independent,5782
PRANJAL BORDOLOY,Aam Aadmi Party,4809
DR. FARUK AAHAMMED BHUYAN,Independent,3540
BANDANA BARMAN BARUAH,Samajwadi Party,3240
DHIRAJ MEDHI,Independent,2845
PADMESHWAR PHUKAN,Independent,2629
KHARGESWAR DAS,Independent,2532
GOPI BARUAH,Lok Bharati,2411
AJAD ALI,Independent,2385
MD. ZAKIR HUSSAIN,Independent,2275
None of the Above,None of the Above,6720
