Candidate,Party,Votes
KIRTI VARDHAN SINGH,Bharatiya Janata Party,359643
NANDITA SHUKLA,Samajwadi Party,199227
AKBAR AHMAD DUMPY,Bahujan Samaj Party,116178
BENI PRASAD VERMA,Indian National Congress,102254
MASOOD ALAM KHAN,Peace Party,42744
OM PRAKASH,Communist Party of India,18450
TILAK RAM,Independent,5374
SATYA PRAKASH,Shivsena,4748
MASHOOQ AHMAD,Aam Aadmi Party,3358
AJAY KUMAR PRABHAKAR,Bahujan Mukti Party,3200
MAHESH KUMAR,Janvadi Party(Socialist),2555
BRIJNANDAN TIWARI,Independent,2395
RAJESH KUMAR MAURYA,Socialist Party (India),2199
PREM KUMAR,Most Backward Classes Of India,1900
RAJENDRA PRASAD,Samyak Parivartan Party,1519
None of the Above,None of the Above,7988
