Candidate,Party,Votes
RAM CHANDRA PASWAN,Lok Jan Shakti Party,270401
DR. ASHOK KUMAR,Indian National Congress,263529
MAHESHWAR HAZARI,Janata Dal (United),200124
BALESHWAR PASWAN,Janta Dal Rashtravadi,15837
MITHILESH KUMAR RAJAK,Independent,13504
RAM CHANDRA RAM,Bahujan Samaj Party,12813
SHATRUDHAN KUMAR PASWAN,Rashtriya Krantikari Samajwadi Party,12322
VIJAY KUMAR RAM,Rajnaitik Vikalp Party,11813
GANESH KUMAR,Aam Aadmi Party,9954
LAL BAHADUR SADA,Communist Party of India (Marxist-Leninist) (Liberation),9665
AMIT KUMAR,Samajwadi Janata Party (Rashtriya),7423
ASHOK PASWAN,Bahujan Mukti Party,6603
None of the Above,None of the Above,29211
