Candidate,Party,Votes
RAMESH POKHRIYAL NISHANK,Bharatiya Janata Party,592320
RENUKA RAWAT,Indian National Congress,414498
HAJI MOHD ISLAM,Bahujan Samaj Party,113663
KANCHAN CHOUDHRY,Aam Aadmi Party,18170
ANITA SAINI,Samajwadi Party,5765
RAZIA BEG,Independent,3741
ISHWAR CHAND,Independent,3740
JAI SINGH,Independent,2769
ASRAF,Independent,2535
D.D.SHARMA,Independent,2067
BRIGADIER GOVIND PRASAD BARTHWAL VSM,Independent,1888
ABDUL ALEEM,Independent,1682
RAMNARESH YADAV,Kalyankari Jantantrik Party,1117
MOHAR SINGH KATARIA,Independent,1051
VISHAL CHAUDHARY,Shivsena,1043
RAKESH,Independent,1015
SANJAY GOYAL,Naya Daur Party,915
SUNIL,Independent,820
PRAMOD RANA,Independent,765
ANAND KUMAR VERMA,Hindustan Krantikari Dal,710
MUKESH SAINI,Bahujan Mukti Party,664
V. K. KAMPANI,Poorvanchal Rashtriya Congress,637
JAVED,Akhil Bharatiya Muslim League (Secular),614
PERVEZ AQIL,All India Minorities Front,454
None of the Above,None of the Above,3049
