Candidate,Party,Votes
RAMESH JIGAJINAGI,Bharatiya Janata Party,471757
PRAKASH RATHOD,Indian National Congress,401938
K SHIVRAM,Janata Dal (Secular),57551
SHRIDHAR NARAYANKAR,Aam Aadmi Party,4717
HUNNUR MARAGANNA MALAPPA,Independent,3795
SUDHAKAR KANAMADI,Bahujan Samaj Party,2818
HANMANT MOTHER-BASALINGAVVA HOLER,Independent,2775
SIDDAPPA B GANJI,Independent,2691
RUDRESH DAYAPPA DODAMANI,Independent,2259
SATISH ASANGIHAL,Independent,2194
SHRIKANT DEVENDRAPPA ARAKERI,Karunaadu Party,1930
RAJU SHRIMANT PADAGANUR,Independent,1422
BHAGWAN DHARMANNA KAMBALE,Republican Party of India (A),1340
RAVI (RAJESH) Y VALLYAPUR,Independent,1283
None of the Above,None of the Above,8287
