53,GUJARAT,BANASKANTHA,SHRIMALI ASHOKBHAI BALCHNDBHAI,INDEPENDENT,2535
54,GUJARAT,BANASKANTHA,DABHI NAVAJIBHAI MADHABHAI,INDEPENDENT,2118
55,GUJARAT,BANASKANTHA,MADHU NIRUPABEN NATVARLAL,INDEPENDENT,2064
56,GUJARAT,BANASKANTHA,CHOUDHARY ADAMBHAI NASIRBHAI,SAMAJWADI PARTY,2007
57,GUJARAT,BANASKANTHA,THAKOR BHUPATAJI RAVAJI,INDEPENDENT,1770
58,GUJARAT,BANASKANTHA,GAMAR VADHABHAI RADHABHAI,INDEPENDENT,825
59,GUJARAT,BANASKANTHA,NONE OF THE ABOVE,NONE OF THE ABOVE,17397
60,GUJARAT,PATAN,LILADHARBHAI KHODAJI VAGHELA,BHARATIYA JANATA PARTY,518538
61,GUJARAT,PATAN,RATHOD BHAVSINHBHAI DAHYABHAI,INDIAN NATIONAL CONGRESS,379819
62,GUJARAT,PATAN,PARMAR MAGANBHAI AMARABHAI,BAHUJAN SAMAJ PARTY,9900
63,GUJARAT,PATAN,VAGHDA JIVABHAI DEVABHAI,INDEPENDENT,7492
64,GUJARAT,PATAN,GOVINDJI OKHAJI THAKOR,JANATA DAL (UNITED),6188
65,GUJARAT,PATAN,MOLAPIYA ABDULKUDUS ABDULMAJID,INDEPENDENT,5629
66,GUJARAT,PATAN,JAKASIJI JOGAJI THAKOR,BAHUJAN MUKTI PARTY,2760
67,GUJARAT,PATAN,BHORANIYA SOYABBHAI HASAMBHAI,INDEPENDENT,2550
68,GUJARAT,PATAN,CHHAGANBHAI NARANBHAI PRAJAPATI,INDEPENDENT,2539
69,GUJARAT,PATAN,JAGRALA IMRAN MAHEMUD,INDEPENDENT,1978
70,GUJARAT,PATAN,BABUBHAI KARSHANBHAI RABARI,SAMAJWADI PARTY,1843
71,GUJARAT,PATAN,IMRANKHAN MAHMADKHAN NAGORI,INDEPENDENT,1840
72,GUJARAT,PATAN,DESAI ISHWARBHAI MAHADEVBHAI,INDEPENDENT,1752
73,GUJARAT,PATAN,PARMAR BHAICHANDBHAI SOMABHAI,REPUBLICAN PARTY OF INDIA EKTAVADI,910
74,GUJARAT,PATAN,NONE OF THE ABOVE,NONE OF THE ABOVE,12061
75,GUJARAT,MAHESANA,PATEL JAYSHREEBEN KANUBHAI,BHARATIYA JANATA PARTY,580250
76,GUJARAT,MAHESANA,PATEL JIVABHAI AMBALAL,INDIAN NATIONAL CONGRESS,371359
77,GUJARAT,MAHESANA,THAKOR KEVALJI NATHAJI,BAHUJAN SAMAJ PARTY,9766
78,GUJARAT,MAHESANA,MAHMAD AZAM HAIDERKHAN PATHAN,INDEPENDENT,6139
79,GUJARAT,MAHESANA,PRAJAPATI VITTHALBHAI VIRDAS,INDEPENDENT,5982
80,GUJARAT,MAHESANA,GIRISHJI JENAJI DABHI,BHARATIYA NATIONAL JANTA DAL,4825
81,GUJARAT,MAHESANA,SMT VANDANABEN DINESHKUMAR PATEL,AAM AADMI PARTY,3731
82,GUJARAT,MAHESANA,THAKOR SAMARATJI BALVANTSINH,INDEPENDENT,2427
83,GUJARAT,MAHESANA,THAKOR BABUJI DHANAJI,INDEPENDENT,1804
84,GUJARAT,MAHESANA,THAKOR BALDEVJI MAGANJI,INDEPENDENT,1653
85,GUJARAT,MAHESANA,ZALA INDRAJITSINH MAHENDRASINH,SAMAJWADI PARTY,1340
86,GUJARAT,MAHESANA,THAKOR MANSANGJI PUNJAJI,BAHUJAN MUKTI PARTY,1251
87,GUJARAT,MAHESANA,CHAUDHARY DINESHBHAI SALUBHAI,VISHVA HINDUSTANI SANGATHAN,1084
88,GUJARAT,MAHESANA,PATEL DILIPBHAI SOMABHAI,HINDUSTAN JANTA PARTY,1032
89,GUJARAT,MAHESANA,NONE OF THE ABOVE,NONE OF THE ABOVE,11615
90,GUJARAT,SABARKANTHA,RATHOD DIPSINH SHANKARSINH,BHARATIYA JANATA PARTY,552205
91,GUJARAT,SABARKANTHA,SHANKERSINH VAGHELA BAPU,INDIAN NATIONAL CONGRESS,467750
92,GUJARAT,SABARKANTHA,BHAMBHI CHANDUBHAI MULCHANDBHAI,BAHUJAN SAMAJ PARTY,16665
93,GUJARAT,SABARKANTHA,SOLANKI CHHAGANBHAI KEVALABHAI,INDEPENDENT,9795
94,GUJARAT,SABARKANTHA,PATEL BHOGILAL HARIBHAI,BHARATIYA NATIONAL JANTA DAL,9046
95,GUJARAT,SABARKANTHA,VELANI SHANTILAL KARAMSHI,INDEPENDENT,6816
96,GUJARAT,SABARKANTHA,BALUSINGH SOMANSINGH NARVE,INDEPENDENT,3527
97,GUJARAT,SABARKANTHA,SHEKH ARIF KHAN,SAMAJWADI PARTY,2314
98,GUJARAT,SABARKANTHA,PATEL PURUSOTTAMBHAI AMBALAL,INDEPENDENT,1876
99,GUJARAT,SABARKANTHA,PATEL ISHWARBHAI SAKRAJI,INDEPENDENT,1674
100,GUJARAT,SABARKANTHA,NONE OF THE ABOVE,NONE OF THE ABOVE,22334
101,GUJARAT,GANDHINAGAR,L.K.ADVANI,BHARATIYA JANATA PARTY,773539
102,GUJARAT,GANDHINAGAR,KIRITBHAI ISHVARBHAI PATEL,INDIAN NATIONAL CONGRESS,290418
103,GUJARAT,GANDHINAGAR,RITURAJ MEHTA,AAM AADMI PARTY,19966
104,GUJARAT,GANDHINAGAR,RAHUL CHIMANBHAI MEHTA,INDEPENDENT,9767
105,GUJARAT,GANDHINAGAR,VAGHELA KISHORSINH MAHOBATSINH,INDEPENDENT,6705
106,GUJARAT,GANDHINAGAR,NIRANJAN GHOSH,BAHUJAN SAMAJ PARTY,6068
107,GUJARAT,GANDHINAGAR,M. K. SHAH,INDEPENDENT,3767
108,GUJARAT,GANDHINAGAR,RAJ PRAJAPATI,INDEPENDENT,3177
109,GUJARAT,GANDHINAGAR,AJMALBHAI RAMABHAI VANIYA,BAHUJAN MUKTI PARTY,1639
110,GUJARAT,GANDHINAGAR,BRAHMBHATT SANJAYBHAI AMARKUMAR,INDEPENDENT,1474
111,GUJARAT,GANDHINAGAR,BIRJUSINH MOTISINH KSHATRIYA,INDEPENDENT,984
112,GUJARAT,GANDHINAGAR,PAGI GANPATBHAI MAVJIBHAI,INDEPENDENT,924
113,GUJARAT,GANDHINAGAR,THAKOR RAVAJI JUHAJI,VISHVA HINDUSTANI SANGATHAN,809
114,GUJARAT,GANDHINAGAR,DESAI KHODABHAI LALJIBHAI,INDEPENDENT,793
