STATE,CONSTITUENCY,TOTAL_VOTES
ODISHA,BARGARH,1123301
GUJARAT,VALSAD,1122203
PUNJAB,PATIALA,1120933
"ANDHRA PRADESH",AMALAPURAM,1120927
"ANDHRA PRADESH",VIZIANAGARAM,1120316
"UTTAR PRADESH",KAIRANA,1119324
"WEST BENGAL",JANGIPUR,1119084
MAHARASHTRA,OSMANABAD,1118151
ODISHA,KALAHANDI,1117536
MAHARASHTRA,NANDURBAR,1116676
"UTTAR PRADESH",MOHANLALGANJ,1116588
KARNATAKA,HAVERI,1115968
KARNATAKA,DAVANAGERE,1114868
"UTTAR PRADESH",KANNAUJ,1114460
KARNATAKA,"BANGALORE SOUTH",1113726
"UTTAR PRADESH",MEERUT,1113384
"MADHYA PRADESH",BALAGHAT,1113364
ASSAM,LAKHIMPUR,1111975
MAHARASHTRA,CHANDRAPUR,1109743
"UTTAR PRADESH",JALAUN,1109166
"ANDHRA PRADESH",NAGARKURNOOL,1108968
"WEST BENGAL",RAIGANJ,1108193
"MADHYA PRADESH",CHHINDWARA,1107498
"UTTAR PRADESH",MUZAFFARNAGAR,1107434
"TAMIL NADU",KALLAKURICHI,1107241
PUNJAB,FIROZPUR,1105412
"UTTAR PRADESH",FIROZABAD,1104606
RAJASTHAN,BHILWARA,1104090
"NCT OF DELHI","SOUTH DELHI",1102410
KARNATAKA,TUMKUR,1101484
UTTARAKHAND,"NAINITAL-UDHAMSINGH NAGAR",1101435
"TAMIL NADU",DHARMAPURI,1101345
GUJARAT,"CHHOTA UDAIPUR",1100542
PUNJAB,LUDHIANA,1100457
"ANDHRA PRADESH",KAKINADA,1099999
PUNJAB,SANGRUR,1099467
KARNATAKA,CHITRADURGA,1096499
"TAMIL NADU",ARANI,1096046
"UTTAR PRADESH",AMROHA,1095860
RAJASTHAN,PALI,1095587
"ANDHRA PRADESH",ZAHIRABAD,1094806
GUJARAT,SABARKANTHA,1094002
"WEST BENGAL","MALDAHA DAKSHIN",1092407
CHHATTISGARH,BILASPUR,1090457
MAHARASHTRA,SHIRUR,1089506
"TAMIL NADU",ARAKKONAM,1089052
"ANDHRA PRADESH",NARSAPURAM,1088951
"TAMIL NADU",CHIDAMBARAM,1088423
RAJASTHAN,JALORE,1087272
PUNJAB,"ANANDPUR SAHIB",1086563
MAHARASHTRA,NAGPUR,1085058
ODISHA,KEONJHAR,1083869
"TAMIL NADU",DINDIGUL,1083364
"MADHYA PRADESH",RATLAM,1082681
ODISHA,BHADRAK,1081339
"TAMIL NADU","CHENNAI SOUTH",1081163
MAHARASHTRA,MADHA,1079619
KARNATAKA,BAGALKOT,1079310
RAJASTHAN,JODHPUR,1078598
KARNATAKA,BELGAUM,1078547
"UTTAR PRADESH",KHERI,1077868
BIHAR,BEGUSARAI,1077855
"UTTAR PRADESH",MATHURA,1076868
"MADHYA PRADESH",DHAR,1076816
"TAMIL NADU",THENI,1075583
KARNATAKA,"BANGALORE CENTRAL",1074589
"MADHYA PRADESH",VIDISHA,1073473
CHHATTISGARH,JANJGIR-CHAMPA,1073347
TRIPURA,"TRIPURA WEST",1072749
KARNATAKA,CHIKKODI,1071103
"UTTAR PRADESH",AGRA,1070400
"TAMIL NADU",KRISHNAGIRI,1068391
"UTTAR PRADESH",BARABANKI,1068168
"TAMIL NADU",VILUPPURAM,1067641
"TAMIL NADU",TIRUVANNAMALAI,1067447
MAHARASHTRA,BARAMATI,1066556
MAHARASHTRA,JALNA,1066259
RAJASTHAN,SIKAR,1065750
"ANDHRA PRADESH",KURNOOL,1065732
"UTTAR PRADESH",ALIGARH,1064357
