CONSTITUENCY,NO_OF_CANDIDATES
SINGHBHUM,13
ARRAH,13
BARASAT,13
RAIGANJ,13
"PASCHIM CHAMPARAN",13
SUNDARGARH,13
BIJNOR,13
MURSHIDABAD,13
SUPAUL,13
AJMER,13
ARUKU,12
BHUBANESWAR,12
FAIZABAD,12
"UDUPI CHIKMAGALUR",12
BHILWARA,12
KAIRANA,12
JANGIPUR,12
MADHUBANI,12
RAJMAHAL,12
BANGAON,12
BIRBHUM,12
BARMER,12
GADCHIROLI-CHIMUR,12
"SASARAM (SC)",12
"AHMEDABAD WEST",12
NARASARAOPET,12
"JAMUI (SC)",12
VADAKARA,12
SAMBALPUR,12
ETAH,12
KANCHEEPURAM,12
KOTTAYAM,12
"DADAR & NAGAR HAVELI",12
KHERI,12
KANNUR,12
JALAUN,12
MACHILIPATNAM,12
RAICHUR,12
PONNANI,12
BERHAMPUR,12
DEWAS,12
KOLLAM,12
SARAN,12
KAUSHAMBI,12
GUNA,12
DINDORI,11
MAHARAJGANJ,11
MANDLA,11
HAMIRPUR,11
SRERAMPUR,11
BALASORE,11
DAMOH,11
GHATAL,11
BULANDSHAHR,11
VALSAD,11
ALIPURDUARS,11
SRIKAKULAM,11
MATHURAPUR,11
RATLAM,11
KANKER,11
NILGIRIS,11
ETAWAH,11
JOYNAGAR,11
DAHOD,11
ZAHIRABAD,11
RATNAGIRI,11
KISHANGANJ,11
TAMLUK,11
JORHAT,11
PALGHAR,11
CUTTACK,11
BARDOLI,11
GARHWAL,11
SAGAR,11
"OUTER MANIPUR",11
BAHRAICH,11
MEDINIPUR,11
SABARKANTHA,11
MALAPPURAM,11
RAIGAD,11
"DUM DUM",10
RAJAMPET,10
MAHBUBNAGAR,10
MAVELIKKARA,10
"BARDHAMAN PURBA",10
MANDI,10
BHIND,10
NANDURBAR,10
MAYURBHANJ,10
TEZPUR,10
BISHNUPUR,10
LOHARDAGA,10
RANAGHAT,10
VIZIANAGARAM,10
BARAMATI,10
KRISHNANAGAR,10
ALMORA,10
KORAPUT,10
NALGONDA,10
BASIRHAT,10
NAGAPATTINAM,10
JAJPUR,10
"UTTARA KANNADA",10
HATHRAS,10
ASKA,10
HOOGHLY,10
ADILABAD,9
"INNER MANIPUR",9
ANAKAPALLI,9
BARGARH,9
BAHARAMPUR,9
BURDWAN,9
VADODARA,9
BETUL,9
KEONJHAR,9
HOSHANGABAD,9
JUNAGADH,9
BOLANGIR,9
BASTAR,9
NOWGONG,9
SURAT,9
"ARUNACHAL WEST",9
SHILLONG,9
KHARGONE,9
BIKANER,9
UDAIPUR,9
KANDHAMAL,9
GULBARGA,9
BHADRAK,9
NABARANGPUR,8
DHAR,8
PURI,8
"NORTH GOA",8
CHITTOOR,8
JAGATSINGHPUR,8
KANTHI,8
AKOLA,8
KENDRAPARA,8
BOLPUR,8
SHIMLA,8
RAJGARH,7
LAKSHADWEEP,7
KOKRAJHAR,7
NAGARKURNOOL,7
DIBRUGARH,7
BANSWARA,7
SIKKIM,7
JHALAWAR-BARAN,7
KACHCHH,6
"AUTONOMOUS DISTRICT",6
ARAMBAGH,6
"CHHOTA UDAIPUR",5
LADAKH,5
"DAMAN & DIU",5
NAGALAND,4
MIZORAM,4
"ARUNACHAL EAST",4
TURA,3
