CANDIDATE,PARTY,CONSTITUENCY,VOTES,TOTAL_VOTES,VOTE_SHARE
"MANOJ RAJORIA","BHARATIYA JANATA PARTY",KARAULI-DHOLPUR,402407,845941,0.4757
"MAGUNTA SREENIVASULU REDDY","TELUGU DESAM",ONGOLE,574302,1208225,0.4753
"PASHUPATI NATH SINGH","BHARATIYA JANATA PARTY",DHANBAD,543491,1143902,0.4751
"ADALA PRABHAKARA REDDY","TELUGU DESAM",NELLORE,562918,1187648,0.4740
"ROBERT ROMAWIA ROYTE",INDEPENDENT,MIZORAM,204331,433201,0.4717
"UDHAYA KUMAR .M","ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",DINDIGUL,510462,1083364,0.4712
"KAPIL MORESHWAR PATIL","BHARATIYA JANATA PARTY",BHIWANDI,411070,875605,0.4695
"DEEPENDER SINGH HOODA","INDIAN NATIONAL CONGRESS",ROHTAK,490063,1044331,0.4693
"VANAROJA R","ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",TIRUVANNAMALAI,500751,1067447,0.4691
"SUMEDHANAND SARASWATI","BHARATIYA JANATA PARTY",SIKAR,499428,1065750,0.4686
"ASHOK KUMAR DOHAREY","BHARATIYA JANATA PARTY",ETAWAH,439646,939604,0.4679
"DR. JITENDRA SINGH","BHARATIYA JANATA PARTY",UDHAMPUR,487369,1041758,0.4678
"THOTA NARASIMHAM","TELUGU DESAM",KAKINADA,514402,1099999,0.4676
"MEENAKASHI LEKHI","BHARATIYA JANATA PARTY","NEW DELHI",453350,969812,0.4675
"RAHUL GANDHI","INDIAN NATIONAL CONGRESS",AMETHI,408651,874625,0.4672
"DHOTRE SANJAY SHAMRAO","BHARATIYA JANATA PARTY",AKOLA,456472,978491,0.4665
"ADV.JOICE GEORGE",INDEPENDENT,IDUKKI,382019,819766,0.4660
"AYODHYA RAMIREDDY ALLA","YUVAJANA SRAMIKA RYTHU CONGRESS PARTY",NARASARAOPET,597184,1282058,0.4658
"HAMDULLAH SAYEED","INDIAN NATIONAL CONGRESS",LAKSHADWEEP,20130,43239,0.4656
"G M SIDDESHWARA","BHARATIYA JANATA PARTY",DAVANAGERE,518894,1114868,0.4654
"ADSUL ANANDRAO VITHOBA",SHIVSENA,AMRAVATI,467212,1004061,0.4653
"KRISHNA RAJ","BHARATIYA JANATA PARTY",SHAHJAHANPUR,525132,1129841,0.4648
N.K.PREMACHANDRAN,"REVOLUTIONARY SOCIALIST PARTY",KOLLAM,408528,879056,0.4647
"ARJUN CHARAN SETHI","BIJU JANATA DAL",BHADRAK,502338,1081339,0.4646
"B.B. PATIL","TELANGANA RASHTRA SAMITHI",ZAHIRABAD,508661,1094806,0.4646
"UDIT RAJ","BHARATIYA JANATA PARTY","NORTH WEST DELHI",629860,1356036,0.4645
"CHALAMALASETTY SUNIL","YUVAJANA SRAMIKA RYTHU CONGRESS PARTY",KAKINADA,510971,1099999,0.4645
R.GOPALAKRISHNAN,"ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",MADURAI,454167,978346,0.4642
KUMAR.P,"ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",TIRUCHIRAPPALLI,458478,988250,0.4639
"K C VENUGOPAL","INDIAN NATIONAL CONGRESS",ALAPPUZHA,462525,997464,0.4637
"SENTHILNATHAN PR","ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",SIVAGANGA,475993,1027036,0.4635
"SELVAKUMARA CHINNAYAN S","ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",ERODE,466995,1008582,0.4630
"SADHVI SAVITRI BAI FOOLE","BHARATIYA JANATA PARTY",BAHRAICH,432392,934263,0.4628
"GAWALI BHAVANA PUNDLIKRAO",SHIVSENA,YAVATMAL-WASHIM,477905,1032949,0.4627
"VINOD KHANNA","BHARATIYA JANATA PARTY",GURDASPUR,482255,1042699,0.4625
"JANARDAN MISHRA","BHARATIYA JANATA PARTY",REWA,383320,830002,0.4618
"GOPAL. DR. K","ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",NAGAPATTINAM,434174,942202,0.4608
"VARIKUTI AMRUTHAPANI","YUVAJANA SRAMIKA RYTHU CONGRESS PARTY",BAPATLA,545391,1184634,0.4604
"SANDHYA ROY","ALL INDIA TRINAMOOL CONGRESS",MEDINIPUR,579860,1260032,0.4602
"NIRANJAN JYOTI","BHARATIYA JANATA PARTY",FATEHPUR,485994,1056688,0.4599
G.SAMANYAKIRAN,"YUVAJANA SRAMIKA RYTHU CONGRESS PARTY",CHITTOOR,550724,1198915,0.4594
"KUNWAR BHARTENDRA","BHARATIYA JANATA PARTY",BIJNOR,486913,1060346,0.4592
"SUGATA BOSE","ALL INDIA TRINAMOOL CONGRESS",JADAVPUR,584244,1272362,0.4592
"RAVINDRA KUSHAWAHA","BHARATIYA JANATA PARTY",SALEMPUR,392213,854749,0.4589
V.ELUMALAI,"ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",ARANI,502721,1096046,0.4587
B.V.NAYAK,"INDIAN NATIONAL CONGRESS",RAICHUR,443659,968889,0.4579
"AHIR HANSRAJ GANGARAM","BHARATIYA JANATA PARTY",CHANDRAPUR,508049,1109743,0.4578
"VIKRAM DEV USENDI","BHARATIYA JANATA PARTY",KANKER,465215,1016943,0.4575
"DR.A .SAMPATH","COMMUNIST PARTY OF INDIA (MARXIST)",ATTINGAL,392478,859350,0.4567
"RAM KUMAR SHARMA","RASHTRIYA LOK SAMTA PARTY",SITAMARHI,411265,900588,0.4567
"ARAKERA SHIVANAGOUDA NAYAK","BHARATIYA JANATA PARTY",RAICHUR,442160,968889,0.4564
"DINESH TRIVEDI","ALL INDIA TRINAMOOL CONGRESS",BARRACKPORE,479206,1051130,0.4559
"SANJAY SADASHIV MANDALIK",SHIVSENA,KOLHAPUR,574406,1260289,0.4558
"DR. THOKCHOM MEINYA","INDIAN NATIONAL CONGRESS","INNER MANIPUR",292102,640871,0.4558
"DR. RATNA DE (NAG)","ALL INDIA TRINAMOOL CONGRESS",HOOGHLY,614312,1348870,0.4554
"RAM PRASAD SARMAH","BHARATIYA JANATA PARTY",TEZPUR,446511,980688,0.4553
"KHAN SAUMITRA","ALL INDIA TRINAMOOL CONGRESS",BISHNUPUR,578870,1272070,0.4551
"KOTHAPALLI GEETHA","YUVAJANA SRAMIKA RYTHU CONGRESS PARTY",ARUKU,413191,909614,0.4542
"MOHITE PATIL VIJAYSINH SHANKARRAO","NATIONALIST CONGRESS PARTY",MADHA,489989,1079619,0.4539
"M B RAJESH","COMMUNIST PARTY OF INDIA (MARXIST)",PALAKKAD,412897,910322,0.4536
"TAMRADHWAJ SAHU","INDIAN NATIONAL CONGRESS",DURG,570687,1258342,0.4535
"GUDIVADA AMARNADH","YUVAJANA SRAMIKA RYTHU CONGRESS PARTY",ANAKAPALLI,520531,1148072,0.4534
"NINONG ERING","INDIAN NATIONAL CONGRESS","ARUNACHAL EAST",118455,261291,0.4533
"HARI G.","ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",ARAKKONAM,493534,1089052,0.4532
"KODIKUNNIL SURESH","INDIAN NATIONAL CONGRESS",MAVELIKKARA,402432,889060,0.4526
"ANANTHA VENKATARAMIREDDY","YUVAJANA SRAMIKA RYTHU CONGRESS PARTY",ANANTAPUR,545240,1205054,0.4525
"MANOJ TIWARI","BHARATIYA JANATA PARTY","NORTH EAST DELHI",596125,1317338,0.4525
"RAJENDRAN S","ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",VILUPPURAM,482704,1067641,0.4521
"RAMESH BIDHURI","BHARATIYA JANATA PARTY","SOUTH DELHI",497980,1102410,0.4517
"P K SREEMATHI TEACHER","COMMUNIST PARTY OF INDIA (MARXIST)",KANNUR,427622,947117,0.4515
"DELKAR MOHANBHAI SANJIBHAI","INDIAN NATIONAL CONGRESS","DADAR & NAGAR HAVELI",74576,165286,0.4512
"BASAVARAJ HITNAL","INDIAN NATIONAL CONGRESS",KOPPAL,453969,1006508,0.4510
"ASHOK KUMAR.K","ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",KRISHNAGIRI,480491,1068391,0.4497
"S.S. MALLIKARJUN","INDIAN NATIONAL CONGRESS",DAVANAGERE,501287,1114868,0.4496
"VINOD KUMAR BOINAPALLY","TELANGANA RASHTRA SAMITHI",KARIMNAGAR,505783,1125691,0.4493
"RANJIT SINGH BRAHMPURA","SHIROMANI AKALI DAL","KHADOOR SAHIB",467332,1040518,0.4491
"MARUTHARAJAA R.P.","ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",PERAMBALUR,462693,1030826,0.4489
"D K SURESH","INDIAN NATIONAL CONGRESS","BANGALORE RURAL",652723,1455244,0.4485
"KARUMANCHI JAYARAM","BHARATIYA JANATA PARTY",TIRUPATI,542951,1213064,0.4476
"VENKATESH BABU .T.G","ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM","CHENNAI NORTH",406704,910114,0.4469
"NARENDRA SINGH TOMAR","BHARATIYA JANATA PARTY",GWALIOR,442796,990912,0.4469
"DR. HARSH VARDHAN","BHARATIYA JANATA PARTY","CHANDNI CHOWK",437938,981863,0.4460
"CHANDU LAL SAHU (CHANDU BHAIYA)","BHARATIYA JANATA PARTY",MAHASAMUND,503514,1131209,0.4451
"PRATIBHA SINGH","INDIAN NATIONAL CONGRESS",MANDI,322968,726094,0.4448
"RAJEEV SHANKARRAO SATAV","INDIAN NATIONAL CONGRESS",HINGOLI,467397,1051164,0.4446
"K SUDHAKARAN","INDIAN NATIONAL CONGRESS",KANNUR,421056,947117,0.4446
"H.D. DEVEGOWDA","JANATA DAL (SECULAR)",HASSAN,509841,1147172,0.4444
"C B CHANDRABABU","COMMUNIST PARTY OF INDIA (MARXIST)",ALAPPUZHA,443118,997464,0.4442
P.K.BIJU,"COMMUNIST PARTY OF INDIA (MARXIST)",ALATHUR,411808,927228,0.4441
"AJIT JOGI","INDIAN NATIONAL CONGRESS",MAHASAMUND,502297,1131209,0.4440
"LAXMI R. HEBBALKAR","INDIAN NATIONAL CONGRESS",BELGAUM,478557,1078547,0.4437
"BUTTA RENUKA","YUVAJANA SRAMIKA RYTHU CONGRESS PARTY",KURNOOL,472782,1065732,0.4436
"KOLUSU PARTHA SARATHY","YUVAJANA SRAMIKA RYTHU CONGRESS PARTY",MACHILIPATNAM,506223,1141065,0.4436
LAKKHIRAM,"INDIAN NATIONAL CONGRESS",KARAULI-DHOLPUR,375191,845941,0.4435
"WANKHEDE SUBHASH BAPURAO",SHIVSENA,HINGOLI,465765,1051164,0.4431
"PRAKASH BABANNA HUKKERI","INDIAN NATIONAL CONGRESS",CHIKKODI,474373,1071103,0.4429
"MARAGATHAM K","ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",KANCHEEPURAM,499395,1128399,0.4426
"BIDYUT BARAN MAHATO","BHARATIYA JANATA PARTY",JAMSHEDPUR,464153,1049140,0.4424
"RAMA DEVI","BHARATIYA JANATA PARTY",SHEOHAR,372506,842894,0.4419
"SHER SINGH GHUBAYA","SHIROMANI AKALI DAL",FIROZPUR,487932,1105412,0.4414
"GIRIRAJ SINGH","BHARATIYA JANATA PARTY",NAWADA,390248,884441,0.4412
"BALASHOWRY VALLABHANENI","YUVAJANA SRAMIKA RYTHU CONGRESS PARTY",GUNTUR,549306,1244926,0.4412
"TARIQ ANWAR","NATIONALIST CONGRESS PARTY",KATIHAR,431292,977830,0.4411
BABULAL,"BHARATIYA JANATA PARTY","FATEHPUR SIKRI",426589,967968,0.4407
"SOLANKI BHARATBHAI MADHAVSINH","INDIAN NATIONAL CONGRESS",ANAND,427403,970894,0.4402
"SAROJ PANDEY","BHARATIYA JANATA PARTY",DURG,553839,1258342,0.4401
"KATTI RAMESH VISHWANATH","BHARATIYA JANATA PARTY",CHIKKODI,471370,1071103,0.4401
C.S.PUTTARAJU,"JANATA DAL (SECULAR)",MANDYA,524370,1192638,0.4397
"SIDHANT MOHAPATRA","BIJU JANATA DAL",BERHAMPUR,398107,905362,0.4397
"ANOOP MISHRA","BHARATIYA JANATA PARTY",MORENA,375567,854279,0.4396
"RAM CHARITRA NISHAD","BHARATIYA JANATA PARTY",MACHHLISHAHR,438210,997902,0.4391
"DIMPLE YADAV","SAMAJWADI PARTY",KANNAUJ,489164,1114460,0.4389
"RAJ KUMAR SINGH","BHARATIYA JANATA PARTY",ARRAH,391074,893213,0.4378
"HARSIMRAT KAUR BADAL","SHIROMANI AKALI DAL",BATHINDA,514727,1176767,0.4374
"KULDEEP RAI SHARMA","INDIAN NATIONAL CONGRESS","ANDAMAN & NICOBAR ISLANDS",83157,190328,0.4369
"PROF. SADHU SINGH","AAM AADMI PARTY",FARIDKOT,450751,1032107,0.4367
"BANDARU DATTATREYA","BHARATIYA JANATA PARTY",SECUNDRABAD,438271,1003769,0.4366
"TAPAS MANDAL","ALL INDIA TRINAMOOL CONGRESS",RANAGHAT,590451,1353196,0.4363
"APPA ALIAS SHRIRANG CHANDU BARNE",SHIVSENA,MAVAL,512226,1174335,0.4362
"UMA BHARATI","BHARATIYA JANATA PARTY",JHANSI,575889,1320804,0.4360
"DARYL WILLIAM CH MOMIN","INDIAN NATIONAL CONGRESS",TURA,199585,458071,0.4357
"SUNIL KUMAR MONDAL","ALL INDIA TRINAMOOL CONGRESS","BARDHAMAN PURBA",574660,1320922,0.4350
"TATHAGATA SATPATHY","BIJU JANATA DAL",DHENKANAL,453277,1042101,0.4350
RAMYA,"INDIAN NATIONAL CONGRESS",MANDYA,518852,1192638,0.4350
"PRATHAP SIMHA","BHARATIYA JANATA PARTY",MYSORE,503908,1159594,0.4346
"E. T. MOHAMMED BASHEER","INDIAN UNION MUSLIM LEAGUE",PONNANI,378503,871592,0.4343
"DR. SANJAY JAISWAL","BHARATIYA JANATA PARTY","PASCHIM CHAMPARAN",371232,854800,0.4343
"MULLAPPALLY RAMACHANDRAN","INDIAN NATIONAL CONGRESS",VADAKARA,416479,959342,0.4341
"THOTA CHANDRA SEKHAR","YUVAJANA SRAMIKA RYTHU CONGRESS PARTY",ELURU,521545,1201696,0.4340
"PRASUN BANERJEE","ALL INDIA TRINAMOOL CONGRESS",HOWRAH,488461,1125399,0.4340
"REVUNAIK BELAMAGI","BHARATIYA JANATA PARTY",GULBARGA,432460,997638,0.4335
"KONERU RAJENDRA PRASAD","YUVAJANA SRAMIKA RYTHU CONGRESS PARTY",VIJAYAWADA,517834,1195075,0.4333
"ANUPRIYA SINGH PATEL","APNA DAL",MIRZAPUR,436536,1007627,0.4332
"BADRUDDIN AJMAL","ALL INDIA UNITED DEMOCRATIC FRONT",DHUBRI,592569,1369624,0.4327
"KETAN DAHYABHAI PATEL","INDIAN NATIONAL CONGRESS","DAMAN & DIU",37738,87233,0.4326
"CHHEDI PASWAN","BHARATIYA JANATA PARTY","SASARAM (SC)",366087,846788,0.4323
"SWAMI SACHCHIDANAND HARI SAKSHI","BHARATIYA JANATA PARTY",UNNAO,518834,1201603,0.4318
"BODHSINGH BHAGAT","BHARATIYA JANATA PARTY",BALAGHAT,480594,1113364,0.4317
ADV.A.N.SHAMSEER,"COMMUNIST PARTY OF INDIA (MARXIST)",VADAKARA,413173,959342,0.4307
"DUDDUKUNTA SREEDHAR REDDY","YUVAJANA SRAMIKA RYTHU CONGRESS PARTY",HINDUPUR,506966,1177257,0.4306
"SADABHAU RAMCHANDRA KHOT","SWABHIMANI PAKSHA",MADHA,464645,1079619,0.4304
"KUNWER SARVESH KUMAR","BHARATIYA JANATA PARTY",MORADABAD,485224,1127965,0.4302
"N.Y. HANUMANTAPPA","INDIAN NATIONAL CONGRESS",BELLARY,449262,1045772,0.4296
"SALEEM AHMED","INDIAN NATIONAL CONGRESS",HAVERI,479219,1115968,0.4294
"KAPIL KRISHNA THAKUR","ALL INDIA TRINAMOOL CONGRESS",BANGAON,551213,1283688,0.4294
"UPENDRA KUSHWAHA","RASHTRIYA LOK SAMTA PARTY",KARAKAT,338892,789927,0.4290
N.MD.FAROOK,"TELUGU DESAM",NANDYAL,516645,1204956,0.4288
"DUSHYANT CHAUTALA","INDIAN NATIONAL LOK DAL",HISAR,494478,1155914,0.4278
"SHANKERSINH VAGHELA BAPU","INDIAN NATIONAL CONGRESS",SABARKANTHA,467750,1094002,0.4276
S.S.AHLUWALIA,"BHARATIYA JANATA PARTY",DARJEELING,488257,1142009,0.4275
"RAM TAHAL CHOUDHARY","BHARATIYA JANATA PARTY",RANCHI,448729,1049783,0.4274
CHHOTELAL,"BHARATIYA JANATA PARTY",ROBERTSGANJ,378211,885873,0.4269
"SAUGATA ROY","ALL INDIA TRINAMOOL CONGRESS","DUM DUM",483244,1132644,0.4267
B.N.CHANDRAPPA,"INDIAN NATIONAL CONGRESS",CHITRADURGA,467511,1096499,0.4264
"PRIYANKA SINGH RAWAT","BHARATIYA JANATA PARTY",BARABANKI,454214,1068168,0.4252
"FEROZE VARUN GANDHI","BHARATIYA JANATA PARTY",SULTANPUR,410348,964981,0.4252
"ANBUMANI RAMADOSS","PATTALI MAKKAL KATCHI",DHARMAPURI,468194,1101345,0.4251
"KALVAKUNTLA KAVITHA","TELANGANA RASHTRA SAMITHI",NIZAMABAD,439307,1033924,0.4249
"RAMACHANDRAN K.N. THIRU","ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",SRIPERUMBUDUR,545820,1286647,0.4242
"MAHADEV JAGANNATH JANKAR","RASHTRIYA SAMAJ PAKSHA",BARAMATI,451843,1066556,0.4236
"GAVIT MANIKRAO HODLYA","INDIAN NATIONAL CONGRESS",NANDURBAR,472581,1116676,0.4232
"FOOLODEVI NETAM","INDIAN NATIONAL CONGRESS",KANKER,430057,1016943,0.4229
"C. N. JAYADEVAN","COMMUNIST PARTY OF INDIA",THRISSUR,389209,920505,0.4228
"PINIPE VISWARUPU","YUVAJANA SRAMIKA RYTHU CONGRESS PARTY",AMALAPURAM,473971,1120927,0.4228
"DR MAHENDRA NATH PANDEY","BHARATIYA JANATA PARTY",CHANDAULI,414135,980572,0.4223
"KHER KIRRON ANUPAM","BHARATIYA JANATA PARTY",CHANDIGARH,191362,453455,0.4220
"M.A. BABY","COMMUNIST PARTY OF INDIA (MARXIST)",KOLLAM,370879,879056,0.4219
"UMANG SINGHAR","INDIAN NATIONAL CONGRESS",DHAR,454059,1076816,0.4217
"DR. SATYA PAL SINGH","BHARATIYA JANATA PARTY",BAGHPAT,423475,1004263,0.4217
"AJAY KUMAR SARNAIK","INDIAN NATIONAL CONGRESS",BAGALKOT,454988,1079310,0.4216
"OM PRAKASH YADAV","BHARATIYA JANATA PARTY",SIWAN,372670,884021,0.4216
V.SATHYABAMA,"ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",TIRUPPUR,442778,1050190,0.4216
"M .K RAGHAVAN","INDIAN NATIONAL CONGRESS",KOZHIKODE,397615,943009,0.4216
"SUBRAT PATHAK","BHARATIYA JANATA PARTY",KANNAUJ,469257,1114460,0.4211
"MANPREET SINGH BADAL S/O GURDAS SINGH","INDIAN NATIONAL CONGRESS",BATHINDA,495332,1176767,0.4209
"JAYANT SINHA","BHARATIYA JANATA PARTY",HAZARIBAGH,406931,967152,0.4208
"SUSHMITA DEV","INDIAN NATIONAL CONGRESS",SILCHAR,336451,799830,0.4207
"KUWAR HARIVANSH SINGH","APNA DAL",PRATAPGARH,375789,894456,0.4201
"MUKESH RAJPUT","BHARATIYA JANATA PARTY",FARRUKHABAD,406195,970677,0.4185
"TASLEEM UDDIN","RASHTRIYA JANATA DAL",ARARIA,407978,975811,0.4181
"VANKA RAVINDRANATH","YUVAJANA SRAMIKA RYTHU CONGRESS PARTY",NARSAPURAM,454955,1088951,0.4178
"HARI OM PANDEY","BHARATIYA JANATA PARTY","AMBEDKAR NAGAR",432104,1034404,0.4177
VASANTHI.M,"ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",TENKASI,424586,1017938,0.4171
"PRATIMA MONDAL","ALL INDIA TRINAMOOL CONGRESS",JOYNAGAR,494746,1186052,0.4171
"DR. BANSHILAL MAHTO","BHARATIYA JANATA PARTY",KORBA,439002,1052720,0.4170
"ASHOK SINGH","INDIAN NATIONAL CONGRESS",GWALIOR,413097,990912,0.4169
"DR. MAMTAZ SANGHAMITA","ALL INDIA TRINAMOOL CONGRESS",BURDWAN,554521,1331242,0.4165
"HUKM DEO NARAYAN YADAV","BHARATIYA JANATA PARTY",MADHUBANI,358040,860453,0.4161
"PROF. K.V. THOMAS","INDIAN NATIONAL CONGRESS",ERNAKULAM,353841,850834,0.4159
"CHENGARA SURENDRAN","COMMUNIST PARTY OF INDIA",MAVELIKKARA,369695,889060,0.4158
"PRAKASH RATHOD","INDIAN NATIONAL CONGRESS",BIJAPUR,401938,966757,0.4158
"SUNIL KUMAR SINGH","BHARATIYA JANATA PARTY",CHATRA,295862,712971,0.4150
"RESHAM MALVIYA","INDIAN NATIONAL CONGRESS",BANSWARA,485517,1171188,0.4146
"VINAY KULKARNI","INDIAN NATIONAL CONGRESS",DHARWAD,431738,1041226,0.4146
"DR. KAKALI GHOSHDOSTIDAR","ALL INDIA TRINAMOOL CONGRESS",BARASAT,525387,1269331,0.4139
PRABAKARAN.K.R.P,"ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",TIRUNELVELI,398139,962330,0.4137
"CHAUDHARI TUSHARBHAI AMARSINHBHAI","INDIAN NATIONAL CONGRESS",BARDOLI,498885,1206179,0.4136
"ANJU BALA","BHARATIYA JANATA PARTY",MISRIKH,412575,998314,0.4133
"JANARDHANA POOJARY","INDIAN NATIONAL CONGRESS","DAKSHINA KANNADA",499030,1207474,0.4133
"RABINDRA KUMAR JENA","BIJU JANATA DAL",BALASORE,433768,1049450,0.4133
"C R CHOUDHARY","BHARATIYA JANATA PARTY",NAGAUR,414791,1004019,0.4131
"CHARAN DAS MAHANT","INDIAN NATIONAL CONGRESS",KORBA,434737,1052720,0.4130
"SUNIL JAKHAR","INDIAN NATIONAL CONGRESS",FIROZPUR,456512,1105412,0.4130
"ANTO ANTONY","INDIAN NATIONAL CONGRESS",PATHANAMTHITTA,358842,869452,0.4127
"M I SHANAVAS","INDIAN NATIONAL CONGRESS",WAYANAD,377035,915006,0.4121
"GODAM NAGESH","TELANGANA RASHTRA SAMITHI",ADILABAD,430847,1045839,0.4120
MAHENDRAN.C,"ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",POLLACHI,417092,1012667,0.4119
"DHARMENDRA KUMAR","BHARATIYA JANATA PARTY",AONLA,409907,995641,0.4117
"KIRTI VARDHAN SINGH","BHARATIYA JANATA PARTY",GONDA,359643,873732,0.4116
"SANTOSH KUMAR","JANATA DAL (UNITED)",PURNIA,418826,1017732,0.4115
"RAJIV PRATAP RUDY","BHARATIYA JANATA PARTY",SARAN,355120,863254,0.4114
"VIRENDRA SINGH","BHARATIYA JANATA PARTY",BHADOHI,403544,981552,0.4111
"GANESH SINGH","BHARATIYA JANATA PARTY",SATNA,375288,913444,0.4108
"Y.S VIJAYAMMA","YUVAJANA SRAMIKA RYTHU CONGRESS PARTY",VISAKHAPATNAM,476344,1163558,0.4094
"GHULAM NABI AZAD","INDIAN NATIONAL CONGRESS",UDHAMPUR,426393,1041758,0.4093
"RADHESHYAM BISWAS","ALL INDIA UNITED DEMOCRATIC FRONT",KARIMGANJ,362866,886920,0.4091
"MOHAN LAL BRAKTA","INDIAN NATIONAL CONGRESS",SHIMLA,301786,737757,0.4091
"S.R. VIJAYAKUMAR","ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM","CHENNAI CENTRAL",333296,814894,0.4090
"KAUSHAL KISHORE","BHARATIYA JANATA PARTY",MOHANLALGANJ,455274,1116588,0.4077
"REDDY SHANTHI","YUVAJANA SRAMIKA RYTHU CONGRESS PARTY",SRIKAKULAM,428591,1051446,0.4076
"ADAGOORU H VISHWANATH","INDIAN NATIONAL CONGRESS",MYSORE,472300,1159594,0.4073
"RAJESH VERMA","BHARATIYA JANATA PARTY",SITAPUR,417546,1026972,0.4066
"D. B. PATIL","BHARATIYA JANATA PARTY",NANDED,411620,1013350,0.4062
"PRASHANT R DESHPANDE","INDIAN NATIONAL CONGRESS","UTTARA KANNADA",406239,1001038,0.4058
"JAIBHANSINGH PAWAIYA","BHARATIYA JANATA PARTY",GUNA,396244,976629,0.4057
"GOVIND SINGH RAJPUT","INDIAN NATIONAL CONGRESS",SAGAR,361843,891929,0.4057
"ALEIXO REGINALDO LOURENCO","INDIAN NATIONAL CONGRESS","SOUTH GOA",166446,410369,0.4056
"AMRISHBHAI RASIKLAL PATEL","INDIAN NATIONAL CONGRESS",DHULE,398727,983083,0.4056
"TAPIR GAO","BHARATIYA JANATA PARTY","ARUNACHAL EAST",105977,261291,0.4056
"DR. J. JAYAVARDHAN","ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM","CHENNAI SOUTH",438404,1081163,0.4055
"ANWHAR RAAJHAA.A","ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",RAMANATHAPURAM,405945,1001048,0.4055
INNOCENT,INDEPENDENT,CHALAKUDY,358440,884033,0.4055
"DHAS SURESH RAMCHANDRA","NATIONALIST CONGRESS PARTY",BEED,499541,1232202,0.4054
V.ABDURAHMAN,INDEPENDENT,PONNANI,353093,871592,0.4051
"BRIJ BHUSAN SHARAN SINGH","BHARATIYA JANATA PARTY",KAISERGANJ,381500,943357,0.4044
"ADV.DEAN KURIAKOSE","INDIAN NATIONAL CONGRESS",IDUKKI,331477,819766,0.4044
"SATISH CHANDRA DUBEY","BHARATIYA JANATA PARTY","VALMIKI NAGAR",364011,900114,0.4044
"KANTILAL BHURIA","INDIAN NATIONAL CONGRESS",RATLAM,437523,1082681,0.4041
"RAVINDRA KUMAR PANDEY","BHARATIYA JANATA PARTY",GIRIDIH,391913,969997,0.4040
SHEEBA,"INDIAN NATIONAL CONGRESS",ALATHUR,374496,927228,0.4039
A.VIJAYARAGHAVAN,"COMMUNIST PARTY OF INDIA (MARXIST)",KOZHIKODE,380732,943009,0.4037
"HARI MANJHI","BHARATIYA JANATA PARTY","GAYA (SC)",326230,809378,0.4031
"ABHISHEK BANERJEE","ALL INDIA TRINAMOOL CONGRESS","DIAMOND HARBOUR",508481,1261296,0.4031
"SACHIN PILOT","INDIAN NATIONAL CONGRESS",AJMER,465891,1156314,0.4029
"RADHAKRISHNAN T","ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",VIRUDHUNAGAR,406694,1010930,0.4023
"B.T. NAIDU","TELUGU DESAM",KURNOOL,428651,1065732,0.4022
"RAJEN GOHAIN","BHARATIYA JANATA PARTY",NOWGONG,494146,1230074,0.4017
"AJAY SINGH RAHUL BHAIYYA","INDIAN NATIONAL CONGRESS",SATNA,366600,913444,0.4013
"BODDU VENKATARAMANA CHOWDARY","YUVAJANA SRAMIKA RYTHU CONGRESS PARTY",RAJAHMUNDRY,463139,1154381,0.4012
"SRINIVASA REDDY REDDEPPAGARI","TELUGU DESAM",KADAPA,481660,1200662,0.4012
"ANANT GEETE",SHIVSENA,RAIGAD,396178,987766,0.4011
"COL. SONA RAM","BHARATIYA JANATA PARTY",BARMER,488747,1219119,0.4009
"SAKUNTALA LAGURI","BIJU JANATA DAL",KEONJHAR,434471,1083869,0.4009
"PUNJABHAI BHIMABHAI VANSH","INDIAN NATIONAL CONGRESS",JUNAGADH,377347,941378,0.4008
"KULDEEP BISHNOI","HARYANA JANHIT CONGRESS (BL)",HISAR,462631,1155914,0.4002
"CHOUDHARY CHANDRABHAN KUBER SINGH","BHARATIYA JANATA PARTY",CHHINDWARA,443218,1107498,0.4002
