PARTY,TOTAL_COST,PARTY_VOTES,COST_PER_VOTE
"SWABHIMANI PAKSHA",14000000,1105073,12.6688
"NAGA PEOPLES FRONT",14000000,994505,14.0774
"TELUGU DESAM",210000000,14094545,14.8994
"ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",280000000,18115825,15.4561
"BIJU JANATA DAL",147000000,9491497,15.4875
"KERALA CONGRESS (M)",7000000,424194,16.5019
"BHARATIYA JANATA PARTY",2996000000,171657549,17.4534
"TELANGANA RASHTRA SAMITHI",119000000,6736490,17.6650
"YUVAJANA SRAMIKA RYTHU CONGRESS PARTY",266000000,13991280,19.0118
"SHIROMANI AKALI DAL",70000000,3636148,19.2511
"HARYANA JANHIT CONGRESS (BL)",14000000,703698,19.8949
"LOK JAN SHAKTI PARTY",49000000,2295929,21.3421
"SOCIALIST JANATA (DEMOCRATIC)",7000000,307597,22.7570
"VIDUTHALAI CHIRUTHAIGAL KATCHI",14000000,606110,23.0981
"BAHUJAN VIKAS AAGHADI",7000000,293681,23.8354
"INDIAN NATIONAL LOK DAL",70000000,2799899,25.0009
"REVOLUTIONARY SOCIALIST PARTY",42000000,1666380,25.2043
"DRAVIDA MUNNETRA KAZHAGAM",245000000,9636430,25.4244
"RASHTRIYA LOK SAMTA PARTY",28000000,1078473,25.9626
"PUTHIYA TAMILAGAM",7000000,262812,26.6350
"ALL INDIA N.R. CONGRESS",7000000,255826,27.3623
"RASHTRIYA JANATA DAL",210000000,7442313,28.2170
"NATIONALIST CONGRESS PARTY",252000000,8635554,29.1817
"MANITHANEYA MAKKAL KATCHI",7000000,236679,29.5759
"INDIAN NATIONAL CONGRESS",3248000000,106938242,30.3727
"JAI BHARAT SAMANTA PARTY",7000000,215607,32.4665
"PATTALI MAKKAL KATCHI",63000000,1827566,34.4721
"MARUMALARCHI DRAVIDA MUNNETRA KAZHAGAM",49000000,1417535,34.5670
"COMMUNIST PARTY OF INDIA (MARXIST)",651000000,17986773,36.1933
SHIVSENA,406000000,10262982,39.5597
"PEASANTS AND WORKERS PARTY OF INDIA",21000000,497721,42.1923
"BODOLAND PEOPLES FRONT",14000000,330106,42.4106
"SIKKIM DEMOCRATIC FRONT",7000000,163698,42.7617
"ALL INDIA TRINAMOOL CONGRESS",917000000,21259681,43.1333
"DESIYA MURPOKKU DRAVIDA KAZHAGAM",98000000,2079392,47.1292
"JAMMU & KASHMIR PEOPLES DEMOCRATIC PARTY",35000000,732644,47.7722
"ALL INDIA MAJLIS-E-ITTEHADUL MUSLIMEEN",35000000,685729,51.0406
"JAMMU & KASHMIR NATIONAL CONFERENCE",21000000,396713,52.9350
"ALL INDIA UNITED DEMOCRATIC FRONT",126000000,2333040,54.0068
"SIKKIM KRANTIKARI MORCHA",7000000,121956,57.3978
"APNA DAL",49000000,821820,59.6238
"MARXIST CO-ORDINATION",7000000,110185,63.5295
"JANATA DAL (SECULAR)",238000000,3731481,63.7816
"UNITED DEMOCRATIC PARTY",7000000,106817,65.5326
"JHARKHAND VIKAS MORCHA (PRAJATANTRIK)",112000000,1579772,70.8963
"SAMAJWADI PARTY",1379000000,18672916,73.8503
"RASHTRIYA SAMAJ PAKSHA",35000000,458580,76.3226
"NATIONAL PEOPLES PARTY",49000000,576444,85.0039
"JHARKHAND MUKTI MORCHA",147000000,1637990,89.7441
"JAMMU & KASHMIR PEOPLE CONFERENCE",7000000,71154,98.3782
"MAHARASHTRA NAVNIRMAN SENA",70000000,708118,98.8536
"RASHTRIYA LOK DAL",70000000,696919,100.4421
"COMMUNIST PARTY OF INDIA",469000000,4327298,108.3817
"JANATA DAL (UNITED)",651000000,5992196,108.6413
"JHARKHAND PARTY",28000000,203869,137.3431
"AJSU PARTY",70000000,488719,143.2316
"ASOM GANA PARISHAD",84000000,577730,145.3966
"RASHTRIYA PARIVARTAN DAL",14000000,95644,146.3761
"BAHUJAN SAMAJ PARTY",3521000000,22946182,153.4460
"INDIAN UNION MUSLIM LEAGUE",175000000,1100096,159.0770
"REVOLUTIONARY SOCIALIST PARTY OF KERALA (BOLSHEVIK) RSP.B",7000000,43051,162.5978
"NATIONAL UNIONIST ZAMINDARA PARTY",21000000,124990,168.0134
"QAUMI EKTA DAL",63000000,354578,177.6760
"ALL INDIA FORWARD BLOC",273000000,1211418,225.3557
"AAM AADMI PARTY",3024000000,11325635,267.0049
"LOK SATTA PARTY",49000000,169648,288.8333
"PEOPLE'S PARTY OF ARUNACHAL",14000000,47018,297.7583
"AAMA ODISHA PARTY",63000000,155900,404.1052
"RASHTRIYA INDEPNDENT MORCHA",7000000,16299,429.4742
"BHARIPA BAHUJAN MAHASANGH",161000000,360854,446.1638
"ATI PICCHARA PARTY",7000000,15370,455.4327
"ODISHA JAN MORCHA",21000000,44397,473.0049
"JAI HIND PARTY",7000000,14754,474.4476
"PASCHIMANCHAL VIKAS PARTY",14000000,28775,486.5334
"SOCIAL DEMOCRATIC PARTY OF INDIA",203000000,396522,511.9514
"BHARATIYA EKTA DAL",49000000,90315,542.5455
"COMMUNIST PARTY OF INDIA (MARXIST-LENINIST) (LIBERATION)",574000000,1007274,569.8549
"AKHIL BHARATIYA MUSLIM LEAGUE (SECULAR)",35000000,59735,585.9212
"GONDVANA GANTANTRA PARTY",189000000,301366,627.1444
"NONE OF THE ABOVE",3801000000,6000197,633.4792
"INDIGENOUSN PEOPLE'S FRONT OF TRIPURA",14000000,21326,656.4757
"PEACE PARTY",357000000,518726,688.2246
"RASHTRIYA DESHAJ PARTY",28000000,38322,730.6508
"PREM JANATA DAL",21000000,28681,732.1920
"AAM JANATA PARTY",7000000,9372,746.9057
"SUHELDEV BHARTIYA SAMAJ PARTY",91000000,118947,765.0466
"WELFARE PARTY OF INDIA",175000000,228642,765.3887
"REPUBLICAN PAKSHA (KHORIPA)",56000000,70924,789.5776
"HINDUSTHAN PRAJA PAKSHA",7000000,8853,790.6924
"SOCIALISTIC DEMOCRATIC PARTY",14000000,17435,802.9825
"AADIJAN MUKTI SENA",7000000,8544,819.2884
"KOSAL KRANTI DAL",7000000,8448,828.5985
"SHRAMAJEEVI PARTY",7000000,8003,874.6720
"RASHTRIYA CONGRESS(J) PARTY",7000000,7650,915.0327
"MAHAN DAL",21000000,22774,922.1042
"JAI SAMAIKYANDHRA PARTY",189000000,204235,925.4046
"PEOPLES GUARDIAN",7000000,7222,969.2606
"RASHTRIYA JAN-JAGRAM MORCHA",7000000,7147,979.4319
"KALINGA SENA",21000000,21143,993.2365
"RASHTRIYA ULAMA COUNCIL",56000000,56324,994.2476
"RASHTRA SEWA DAL",7000000,6994,1000.8579
"BIHAR JANTA PARTY",7000000,6765,1034.7376
"BAHUJAN SANGHARSHH DAL",63000000,59813,1053.2827
"SAMAIKYA TELUGU RAJYAM",7000000,6517,1074.1139
"SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)",560000000,520959,1074.9406
"RAJNAITIK VIKALP PARTY",42000000,38992,1077.1440
"BHARATIYA YUVA SHAKTI",42000000,38633,1087.1535
"REPUBLICAN BACKWARD CONGRESS",7000000,6265,1117.3184
"JANTA DAL RASHTRAVADI",63000000,53864,1169.6124
"REPUBLICAN PARTY OF INDIA",112000000,94802,1181.4097
"JHARKHAND DISOM PARTY",133000000,109843,1210.8191
"BHARAT VIKAS MORCHA",56000000,45667,1226.2684
"AADIVASI SENA PARTY",14000000,11362,1232.1774
"AKHIL BHARTIYA MITHILA PARTY",14000000,11221,1247.6606
"JHARKHAND PARTY (NAREN)",21000000,16670,1259.7481
"AKHIL BHARTIYA JHARKHAND PARTY",21000000,16616,1263.8421
"JAI PRAKASH JANATA DAL",35000000,27619,1267.2436
"MAHAJANA SOCIALIST PARTY",28000000,22023,1271.3981
"DESHBHAKT NIRMAN PARTY",7000000,5485,1276.2078
"AMBEDKARITE PARTY OF INDIA",238000000,185095,1285.8262
"JHARKHAND VIKAS DAL",14000000,10870,1287.9485
"JAI HIND SAMAJ PARTY",35000000,27122,1290.4653
"MODERATE PARTY",7000000,5406,1294.8576
"REGIONAL DEMOCRATIC SECULAR CONGRESS",14000000,10800,1296.2963
"MOULIK ADHIKAR PARTY",21000000,15742,1334.0109
"AKHIL BHARATIYA JAN SANGH",28000000,20902,1339.5847
"RASHTRIYA KRANTIKARI SAMAJWADI PARTY",63000000,46756,1347.4207
INDEPENDENT,22645000000,16743719,1352.4474
"BHARAT BHRASHTACHAR MITAO PARTY",14000000,10160,1377.9528
"RASHTRIYA GONDVANA PARTY",14000000,10142,1380.3983
"BHARATIYA NATIONAL JANTA DAL",28000000,20209,1385.5213
"SAMAJWADI JAN PARISHAD",14000000,10008,1398.8809
"BHARTIYA SATYA SANGHARSH PARTY",7000000,4956,1412.4294
"SAMAJWADI SAMAJ PARTY",7000000,4947,1414.9990
"TAMIL NADU MAKKAL CONGRESS",70000000,49038,1427.4644
"SAMRUDDHA ODISHA",14000000,9794,1429.4466
