PARTY,PARTY_VOTES,TOTAL_VOTES,VOTE_SHARE
"BHARTIYA SHRAMIK DAL SOCIALIST",924,553801801,0.0000
"REPUBLICAN PARTY OF INDIA EKTAVADI",910,553801801,0.0000
"HINDUSTAN SWARAJ CONGRESS PARTY",888,553801801,0.0000
"BHARATIYA MOOL NIWASI SAMAJ PARTY",877,553801801,0.0000
"DEMOCRATIC CONGRESS PARTY",833,553801801,0.0000
"BHARTIYA CHAITANYA PARTY",802,553801801,0.0000
"NATIONAL PARTY",791,553801801,0.0000
"GOA SU-RAJ PARTY",783,553801801,0.0000
"SAMTA VIKAS PARTY",763,553801801,0.0000
"KANNADA CHALAVALI VATAL PAKSHA",707,553801801,0.0000
"PRAJATANTRA AADHAR PARTY",698,553801801,0.0000
"AKHIL BHARATIYA HIND KRANTI PARTY",685,553801801,0.0000
"AKHIL BHARATIYA RAJARYA SABHA",683,553801801,0.0000
"SOCIAL ACTION PARTY",682,553801801,0.0000
"RASHTRIYA SAWARN DAL",665,553801801,0.0000
"AKHAND BHARAT SAMAJ PARTY",651,553801801,0.0000
"INDIAN OCEANIC PARTY",649,553801801,0.0000
"RASHTRIYA EKTA PARTY",601,553801801,0.0000
"B.C.BHARATA DESAM PARTY",597,553801801,0.0000
"HINDUSTAN EKTA PARTY",566,553801801,0.0000
"ADARSH SAMAJ PARTY",557,553801801,0.0000
"INDIAN GANDHIYAN PARTY",546,553801801,0.0000
"ALL INDIA RAVIDAS SAMATA PARTY",543,553801801,0.0000
"UTTAR PRADESH REPUBLICAN PARTY",542,553801801,0.0000
"GOEMCARANCHO OTREC ASTRO",530,553801801,0.0000
"BHARATIYA NAV KRANTI PARTY",502,553801801,0.0000
"NAVA BHARAT NATIONAL PARTY",485,553801801,0.0000
"THRINAMOOL TAMIL NADU CONGRESS",474,553801801,0.0000
"NAVBHARAT NIRMAN PARTY",441,553801801,0.0000
"PARIVARTAN SAMAJ PARTY",433,553801801,0.0000
"RASHTRIYA JANADHIKAR PARTY",415,553801801,0.0000
"INDIANS VICTORY PARTY",398,553801801,0.0000
"SARDAR VALLABHBHAI PATEL PARTY",394,553801801,0.0000
"AMBEDKAR PEOPLE'S MOVEMENT",374,553801801,0.0000
"MAJDOOR KISAN UNION PARTY",362,553801801,0.0000
"JAN SAMANTA PARTY",357,553801801,0.0000
"VANCHIT JAMAT PARTY",350,553801801,0.0000
"PEOPLE'S PARTY OF INDIA(SECULAR)",331,553801801,0.0000
"BHARTIYA JAN MANCH",325,553801801,0.0000
"AKHIL BHARATIYA ASHOK SENA",296,553801801,0.0000
"VISHVA SHAKTI PARTY",263,553801801,0.0000
"RASHTRIYA JATIGAT AARAKSHAN VIRODHI PARTY",259,553801801,0.0000
"RASHTRIYA JANKRANTI PARTY",217,553801801,0.0000
"BHARAT VISHAL PARTY",161,553801801,0.0000
