PARTY,PARTY_VOTES,TOTAL_VOTES,VOTE_SHARE
"RAJNAITIK VIKALP PARTY",38992,553801801,0.0001
"BHARATIYA YUVA SHAKTI",38633,553801801,0.0001
"RASHTRIYA DESHAJ PARTY",38322,553801801,0.0001
"NAITIK PARTY",36181,553801801,0.0001
"SHIROMANI AKALI DAL (AMRITSAR)(SIMRANJIT SINGH MANN)",35516,553801801,0.0001
"KARUNAADU PARTY",33172,553801801,0.0001
"RASHTRIYA JANADHIKAR SURAKSHA PARTY",32514,553801801,0.0001
"RASHTRIYA SAMANTA DAL",30880,553801801,0.0001
"SAMYAK PARIVARTAN PARTY",30805,553801801,0.0001
"AKHIL BHARAT HINDU MAHASABHA",29483,553801801,0.0001
"PASCHIMANCHAL VIKAS PARTY",28775,553801801,0.0001
"PREM JANATA DAL",28681,553801801,0.0001
"JAGO PARTY",27624,553801801,0.0000
"JAI PRAKASH JANATA DAL",27619,553801801,0.0000
"AMBEDKAR SAMAJ PARTY",27589,553801801,0.0000
"JAI HIND SAMAJ PARTY",27122,553801801,0.0000
"VANCHITSAMAJ INSAAF PARTY",23991,553801801,0.0000
"GAREEB AADMI PARTY",23505,553801801,0.0000
"REPUBLICAN PARTY OF INDIA (KHOBRAGADE)",23110,553801801,0.0000
"MAHAN DAL",22774,553801801,0.0000
"PARTY FOR DEMOCRATIC SOCIALISM",22267,553801801,0.0000
"MAHAJANA SOCIALIST PARTY",22023,553801801,0.0000
"SAMATA PARTY",21635,553801801,0.0000
"BAJJIKANCHAL VIKAS PARTY",21524,553801801,0.0000
"INDIGENOUSN PEOPLE'S FRONT OF TRIPURA",21326,553801801,0.0000
"PRAJATANTRIK SAMADHAN PARTY",21284,553801801,0.0000
"KALINGA SENA",21143,553801801,0.0000
"SAMATA KRANTI DAL",20910,553801801,0.0000
"AKHIL BHARATIYA JAN SANGH",20902,553801801,0.0000
"BHARATIYA NATIONAL JANTA DAL",20209,553801801,0.0000
"AMBEDKAR NATIONAL CONGRESS",19863,553801801,0.0000
"PRABUDDHA REPUBLICAN PARTY",19470,553801801,0.0000
"MOST BACKWARD CLASSES OF INDIA",19417,553801801,0.0000
"SARVAJAN KALYAN LOKTANTRIK PARTY",19253,553801801,0.0000
"RASHTRIYA JANASACHETAN PARTY (R.J.P.)",18206,553801801,0.0000
"MANAVTAWADI SAMAJ PARTY",17890,553801801,0.0000
"DESIYA FORWARD BLOC",17474,553801801,0.0000
"SOCIALISTIC DEMOCRATIC PARTY",17435,553801801,0.0000
"INDIAN SAVARN SAMAJ PARTY",16903,553801801,0.0000
"JHARKHAND PARTY (NAREN)",16670,553801801,0.0000
"AKHIL BHARTIYA JHARKHAND PARTY",16616,553801801,0.0000
"SAMATA SAMADHAN PARTY",16501,553801801,0.0000
"AMBEDKARIST REPUBLICAN PARTY",16461,553801801,0.0000
"SHOSHIT SAMAJ DAL",16446,553801801,0.0000
"RASHTRIYA INDEPNDENT MORCHA",16299,553801801,0.0000
"BHARATIYA MOMIN FRONT",16182,553801801,0.0000
"NAV BHARAT DEMOCRATIC PARTY",16153,553801801,0.0000
"SANKHYANUPATI BHAGIDARI PARTY",16078,553801801,0.0000
"NAYA DAUR PARTY",15965,553801801,0.0000
"BHARATIYA SANT MAT PARTY",15940,553801801,0.0000
"MOULIK ADHIKAR PARTY",15742,553801801,0.0000
"SARVA JANATA PARTY",15474,553801801,0.0000
"ATI PICCHARA PARTY",15370,553801801,0.0000
"PROUTIST SARVA SAMAJ",15368,553801801,0.0000
"JAI HIND PARTY",14754,553801801,0.0000
"BHARATIYA JAN KRANTI DAL (DEMOCRATIC)",14685,553801801,0.0000
"INDIAN CHRISTIAN SECULAR PARTY",14353,553801801,0.0000
"SWARAJ (J)",14152,553801801,0.0000
"INDIAN UNITY CENTRE",13527,553801801,0.0000
"LOK BHARATI",13399,553801801,0.0000
"MAHARASHTRA PARIVARTAN SENA (T)",13339,553801801,0.0000
"LOKPRIYA SAMAJ PARTY",13304,553801801,0.0000
"RASHTRIYA AHINSA MANCH",13185,553801801,0.0000
"MARXIST COMMUNIST PARTY OF INDIA (UNITED)",13028,553801801,0.0000
"RASHTRIYA APNA DAL",12366,553801801,0.0000
"JHARKHAND ANUSHILAN PARTY",12240,553801801,0.0000
"ANDHRA RASTRA PRAJA SAMITHI",12043,553801801,0.0000
"ADARSH RASHTRIYA VIKAS PARTY",12037,553801801,0.0000
"INDIAN NATIONAL LEAGUE",11924,553801801,0.0000
"AADIVASI SENA PARTY",11362,553801801,0.0000
"SWARAJYA PARTY OF INDIA",11361,553801801,0.0000
"MAJLIS BACHAO TAHREEK",11347,553801801,0.0000
"MINORITIES DEMOCRATIC PARTY",11225,553801801,0.0000
"AKHIL BHARTIYA MITHILA PARTY",11221,553801801,0.0000
"NATIONAL LOKTANTRIK PARTY",11174,553801801,0.0000
"BAHUJAN SAMAJ PARTY (AMBEDKAR)",11104,553801801,0.0000
"JHARKHAND VIKAS DAL",10870,553801801,0.0000
"REGIONAL DEMOCRATIC SECULAR CONGRESS",10800,553801801,0.0000
"RASHTRIYA JANWADI PARTY (KRANTIKARI)",10797,553801801,0.0000
"JAMAT-E-SERATUL MUSTAKIM",10564,553801801,0.0000
"MEGH DESHAM PARTY",10490,553801801,0.0000
"SARVA SAMAJ KALYAN PARTY",10239,553801801,0.0000
"BHARAT BHRASHTACHAR MITAO PARTY",10160,553801801,0.0000
"RASHTRIYA GONDVANA PARTY",10142,553801801,0.0000
"LOKTANTRIK JANATA PARTY (SECULAR)",10026,553801801,0.0000
"SAMAJWADI JAN PARISHAD",10008,553801801,0.0000
"ALL INDIA MINORITIES FRONT",9938,553801801,0.0000
"SAMRUDDHA ODISHA",9794,553801801,0.0000
"SAMTAWADI REPUBLICAN PARTY",9561,553801801,0.0000
"BHARATIYA DR. B.R.AMBEDKAR JANTA PARTY",9481,553801801,0.0000
"AAM JANATA PARTY",9372,553801801,0.0000
"APNA DAL UNITED PARTY",9265,553801801,0.0000
"ULZAIPALI MAKKAL KATCHY",9194,553801801,0.0000
"TRIPURA PRAGATISHIL GRAMIN CONGRESS",8952,553801801,0.0000
"HINDUSTHAN NIRMAN DAL",8889,553801801,0.0000
"HINDUSTHAN PRAJA PAKSHA",8853,553801801,0.0000
"BHARTIYA EKTA MANCH PARTY",8729,553801801,0.0000
"RASHTRAVADI JANATA PARTY",8713,553801801,0.0000
"AADIJAN MUKTI SENA",8544,553801801,0.0000
"MAKKAL MANADU KATCHI",8468,553801801,0.0000
"KOSAL KRANTI DAL",8448,553801801,0.0000
"BHARATIYA REPUBLICAN PAKSHA",8226,553801801,0.0000
"RAJASTHAN VIKAS PARTY",8152,553801801,0.0000
"SHRAMAJEEVI PARTY",8003,553801801,0.0000
"HINDUSTAN VIKAS DAL",7921,553801801,0.0000
"KISAN MAJDOOR BEROJGAR SANGH",7839,553801801,0.0000
"DALITA BAHUJANA PARTY",7746,553801801,0.0000
"RASHTRIYA CONGRESS(J) PARTY",7650,553801801,0.0000
"ALL INDIA PEOPLES' FRONT (RADICAL)",7630,553801801,0.0000
"KRANTIKARI VIKAS DAL",7541,553801801,0.0000
"BHARATIYA KISAN PARIVARTAN PARTY",7342,553801801,0.0000
"PEOPLES GUARDIAN",7222,553801801,0.0000
"BHARATIYA BAHUJAN CONGRESS",7197,553801801,0.0000
"RASHTRIYA JAN-JAGRAM MORCHA",7147,553801801,0.0000
"SANATAN SANSKRITI RAKSHA DAL",7115,553801801,0.0000
"B. C. UNITED FRONT",7036,553801801,0.0000
"RASHTRA SEWA DAL",6994,553801801,0.0000
"SANYUKT SAMAJWADI DAL",6788,553801801,0.0000
"BIHAR JANTA PARTY",6765,553801801,0.0000
"HINDUSTAN KRANTIKARI DAL",6703,553801801,0.0000
"SARVAJAN SAMAJ PARTY (D)",6681,553801801,0.0000
"JAN SHAKTI EKTA PARTY",6636,553801801,0.0000
"SAMAIKYA TELUGU RAJYAM",6517,553801801,0.0000
"SOCIALIST REPUBLICAN PARTY",6512,553801801,0.0000
"PROUTIST BLOC. INDIA",6509,553801801,0.0000
"UNITED COMMUNIST PARTY OF INDIA",6472,553801801,0.0000
"INDIAN LABOUR PARTY (AMBEDKAR PHULE)",6390,553801801,0.0000
"REPUBLICAN BACKWARD CONGRESS",6265,553801801,0.0000
"RASHTRIYA NAUJAWAN DAL",6192,553801801,0.0000
"AL-HIND PARTY",5977,553801801,0.0000
"AARAKSHAN VIRODHI PARTY",5861,553801801,0.0000
"BHARTIYA SARVJAN PARTY",5845,553801801,0.0000
"THE LOK PARTY OF INDIA",5804,553801801,0.0000
"RASHTRIYA BAHUJAN CONGRESS PARTY",5799,553801801,0.0000
"BHARATIYA GAON TAJ DAL",5761,553801801,0.0000
"APNA DESH PARTY",5579,553801801,0.0000
"DESHBHAKT NIRMAN PARTY",5485,553801801,0.0000
"BAHUJAN SANGHARSH PARTY (KANSHIRAM)",5416,553801801,0.0000
"MODERATE PARTY",5406,553801801,0.0000
"BUNDELKHAND CONGRESS",5371,553801801,0.0000
"BHARATIYA INQALAB PARTY",5362,553801801,0.0000
"EKLAVYA SAMAJ PARTY",5341,553801801,0.0000
"DEMOCRATIC BHARATIYA SAMAJ PARTY",5240,553801801,0.0000
"AGAR JAN PARTY",5228,553801801,0.0000
"INDIAN KRANTIKARI LEHAR",5084,553801801,0.0000
"NEW INDIA PARTY",5082,553801801,0.0000
"MOOLNIWASI SAMAJ PARTY",4986,553801801,0.0000
"BHARTIYA SATYA SANGHARSH PARTY",4956,553801801,0.0000
"SAMAJWADI SAMAJ PARTY",4947,553801801,0.0000
"SAMAIKYANDHRA PARIRAKSHANA SAMITHI",4870,553801801,0.0000
"POORVANCHAL RASHTRIYA CONGRESS",4852,553801801,0.0000
"KALYANKARI JANTANTRIK PARTY",4839,553801801,0.0000
"JAN-NYAY DAL",4719,553801801,0.0000
"BHARTIYA JANTANTRIK JANATA DAL",4664,553801801,0.0000
"BHARATIYA BAHUJAN PARTY",4653,553801801,0.0000
"RASHTRIYA JANKRANTI MORCHA",4647,553801801,0.0000
"YUVA SARKAR",4578,553801801,0.0000
"RASHTRIYA CONGRESS (BABU JAGJIVANRAM)",4527,553801801,0.0000
"RAYALASEEMA PARIRAKSHANA SAMITHI",4521,553801801,0.0000
"JAN SEVAK PARTY",4489,553801801,0.0000
"SHAKTI SENA (BHARAT DESH)",4465,553801801,0.0000
"BRAJ VIKAS PARTY",4411,553801801,0.0000
"MANAV MUKTI MORCHA",4409,553801801,0.0000
"LOK PARIVARTAN PARTY(DC)",4396,553801801,0.0000
"ALL J & K KISAN MAJDOOR PARTY",4392,553801801,0.0000
"AKHIL BHARATIYA SHIVSENA RASHTRAWADI",4380,553801801,0.0000
"AWAMI AAMJAN PARTY",4378,553801801,0.0000
"RASHTRIYA AMBEDKAR DAL",4327,553801801,0.0000
"BHARATIYA PEOPLES PARTY",4291,553801801,0.0000
"JAI VIJAYA BHARATHI PARTY",4270,553801801,0.0000
"CHHATTISGARHIYA PARTY",4265,553801801,0.0000
"BHARTIYA KRISHAK DAL",4250,553801801,0.0000
"RASTRIYA INSAAF PARTY",4219,553801801,0.0000
"RASHTRIYA SARVAJAN PARTY",4215,553801801,0.0000
"BHARTIYA VANCHITSAMAJ PARTY",4144,553801801,0.0000
"DHARAM NIRPEKSH DAL",4130,553801801,0.0000
"RASHTRIYA JANPRIYA PARTY",4117,553801801,0.0000
"RASHTRIYA KRANTI PARTY",4112,553801801,0.0000
"RAJYADHIKARA PARTY",4112,553801801,0.0000
"PARCHAM PARTY OF INDIA",4082,553801801,0.0000
"PRAGATISHEEL SAMAJ PARTY",4052,553801801,0.0000
"SWATANTRA SAMAJ PARTY",4016,553801801,0.0000
"VICHARA JAGRUTHI CONGRESS PAKSHA",3972,553801801,0.0000
"JANTA RAJ PARTY",3846,553801801,0.0000
"NIRJATITA SAMAJ BIPLABI PARTY",3829,553801801,0.0000
"BHARATIYA KISAN SENA LOKTANTRIK",3826,553801801,0.0000
"NEW ALL INDIA CONGRESS PARTY",3778,553801801,0.0000
"AWAMI VIKAS PARTY",3750,553801801,0.0000
"LOK SHAKTI",3722,553801801,0.0000
"NATIONAL DEVELOPMENT PARTY",3618,553801801,0.0000
"JHARKHAND MUKTI MORCHA (ULGULAN)",3512,553801801,0.0000
"INDIAN PEOPLES GREEN PARTY",3488,553801801,0.0000
"ASANKHYA SAMAJ PARTY",3482,553801801,0.0000
"BHARATIYA MINORITIES SURAKSHA MAHASANGH",3441,553801801,0.0000
"RASHTRIYA AAM PARTY",3408,553801801,0.0000
"BHARAT KI LOK JIMMEDAR PARTY",3392,553801801,0.0000
"BHARTI JAN SURAKSHA PARTY",3336,553801801,0.0000
"RASHTRIYA SANT SANDESH PARTY",3283,553801801,0.0000
"NATIONAL TIGER PARTY",3251,553801801,0.0000
"BHARATIYA RASHTRIYA BAHUJAN SAMAJ VIKAS PARTY",3238,553801801,0.0000
"PRAGATISHEEL MAGAHI SAMAJ",3076,553801801,0.0000
"NATIONAL LOKMAT PARTY",3072,553801801,0.0000
"EZHUCHI TAMILARGAL MUNNETRA KAZHAGAM",3023,553801801,0.0000
"EX-SAINIK KISSAN PARTY",2988,553801801,0.0000
"SHOSHIT SANDESH PARTY",2982,553801801,0.0000
"MAHARASHTRA VIKAS AGHADI",2979,553801801,0.0000
"RASHTRIYA VIKLANG PARTY",2958,553801801,0.0000
"NAGRIK EKTA PARTY",2917,553801801,0.0000
"REPUBLICAN BAHUJAN SENA",2910,553801801,0.0000
"GORKHA RASHTRIYA CONGRESS",2906,553801801,0.0000
"JAN MORCHA",2901,553801801,0.0000
"VISHVA HINDUSTANI SANGATHAN",2880,553801801,0.0000
"RASHTRIYA MAHAN GANTANTRA PARTY",2872,553801801,0.0000
"LOKTANTRIK SAMAJWADI PARTY",2820,553801801,0.0000
"RANI CHENNAMMA PARTY",2803,553801801,0.0000
"HINDUSTAN KRANTI DAL",2762,553801801,0.0000
"ANDHRA PRADESH RASHTRA SAMAIKYA SAMITHI PARTY",2752,553801801,0.0000
"JAWAN KISAN MORCHA",2711,553801801,0.0000
PRISM,2694,553801801,0.0000
"RASHTRIYA JANSHAKTI PARTY(EKLAVYA)",2654,553801801,0.0000
"GREAT INDIA PARTY",2594,553801801,0.0000
"BHARTIYA PRAGATISHEEL CONGRESS",2571,553801801,0.0000
"INQALAB VIKAS DAL",2570,553801801,0.0000
"TELANGANA LOKSATTA PARTY",2568,553801801,0.0000
"JAN RAAJYA PARTY",2543,553801801,0.0000
"BHARAT NAV NIRMAN PARTY",2533,553801801,0.0000
"AKHIL BHARATIYA SAMAJWADI CONGRESS",2530,553801801,0.0000
"NAMADHU MAKKAL KATCHI",2511,553801801,0.0000
"MAHAMUKTI DAL",2482,553801801,0.0000
"MAHILA SWABHIMAN PARTY",2425,553801801,0.0000
"BHARATIYA SARVODAYA KRANTI PARTY",2409,553801801,0.0000
"RASHTRIYA VIKAS PARTY",2396,553801801,0.0000
"ANAITHINDIA DRAVIDAR SAMUDAYA MUNNETRA KAZHAGAM",2372,553801801,0.0000
"SARVSHRESHTH DAL",2329,553801801,0.0000
"TELANGANA COMMUNIST PARTY OF INDIA",2311,553801801,0.0000
"AKHIL BHARTIYA VIKAS CONGRESS PARTY",2255,553801801,0.0000
"JANTANTRA PARTY",2249,553801801,0.0000
"RASHTRIYA RASHTRAWADI PARTY",2225,553801801,0.0000
"NATIONAL JANHIT CONGRESS (AB)",2196,553801801,0.0000
"RASHTRAWADI SAMAJ PARTY",2181,553801801,0.0000
"DHARMARAJYA PAKSHA",2175,553801801,0.0000
"INDIAN PEACE PARTY",2155,553801801,0.0000
"BHARTIYA REPUBLICAN PARTY (INSAN)",2138,553801801,0.0000
"ATULYA BHARAT PARTY",2135,553801801,0.0000
"MAHANWADI PARTY",2101,553801801,0.0000
"RASHTRIYA KARMYOG PARTY",2096,553801801,0.0000
"UTTARAKHAND PARIVARTAN PARTY",2045,553801801,0.0000
"AKHIL RASHTRAWADI PARTY",2029,553801801,0.0000
"RASHTRIYA PRAJA CONGRESS (SECULAR)",2025,553801801,0.0000
"MANIPUR DEMOCRATIC PEOPLES'S FRONT",2005,553801801,0.0000
"BHARAT NIRMAN PARTY",2000,553801801,0.0000
"BHARTIYA JAN YUG PARTY",2000,553801801,0.0000
"SOCIALIST PARTY (LOHIA)",1997,553801801,0.0000
"LABOUR PARTY OF INDIA (V.V. PRASAD)",1993,553801801,0.0000
"INDIAN BAHUJAN SANDESH PARTY (KANSHIRAM)",1952,553801801,0.0000
"DR. AMBEDKAR SAMAJVADI DEMOCRATIC PARTY",1949,553801801,0.0000
"ADARSH MANAVTAWADI PARTY",1919,553801801,0.0000
"BHARTIYA NAVJAWAN SENA (PAKSHA)",1862,553801801,0.0000
"RASHTRIYA BAHUJAN HITAY PARTY",1842,553801801,0.0000
"NARAYANI SENA",1725,553801801,0.0000
"BAHUJAN SURAKSHA DAL",1723,553801801,0.0000
"BRIHATTAR BHARAT PRAJATANTRA SEWA PARTY",1679,553801801,0.0000
"BHARTIYA PARTY",1635,553801801,0.0000
"RASHTRIYA UTTARAKHAND PARTY",1629,553801801,0.0000
"AWAMI SAMTA PARTY",1617,553801801,0.0000
"BHARATIYA RASHTRIYA MAZDOOR DAL",1607,553801801,0.0000
"ALL INDIA AZAAD CONGRESS PARTY",1593,553801801,0.0000
"RASHTRIYA MANAV SAMMAN PARTY",1572,553801801,0.0000
"RASHTRIYA JANSHANTI PARTY",1571,553801801,0.0000
"ALL JAMMU AND KASHMIR REPUBLICAN PARTY",1568,553801801,0.0000
"RASHTRIYA JANTA PARTY",1526,553801801,0.0000
"RASHTRIYA BANDHUTWA PARTY",1521,553801801,0.0000
"JEBAMANI JANATA",1517,553801801,0.0000
"LOKTANTRIK RASHRTAVADI PARTY",1491,553801801,0.0000
"NEHRU JANHIT CONGRESS",1463,553801801,0.0000
"AKHIL BHARATIYA CONGRESS DAL (AMBEDKAR)",1461,553801801,0.0000
"NAVODYAM PARTY",1455,553801801,0.0000
"BHARTIYA NAUJAWAN INKLAV PARTY",1440,553801801,0.0000
"RASHTRIYA VIKAS MANCH PARTY",1434,553801801,0.0000
"BHARTIYA SAMAJIK KRANTI DAL",1423,553801801,0.0000
"BHRASHTACHAR MUKTI MORCHA",1413,553801801,0.0000
"BHARATIYA NAVYUVAK PARTY",1408,553801801,0.0000
"PUNJAB LABOUR PARTY",1386,553801801,0.0000
"KAMARAJAR DESEEYA CONGRESS",1345,553801801,0.0000
"DEMOCRATIC PRAJAKRANTHI PARTY SECULARIST",1342,553801801,0.0000
"BHARATIYA JAWALA SHAKTI PAKSHA",1337,553801801,0.0000
"JAN RAKSHA PARTY",1318,553801801,0.0000
"DEMOCRATIC SECULAR PARTY",1262,553801801,0.0000
"RASHTRIYA KOMI EKTA PARTY",1254,553801801,0.0000
"NATIONAL ORGANISATION CONGRESS",1202,553801801,0.0000
"RASHTRAWADI PARIVARTAN PARTY (L.B.)",1195,553801801,0.0000
"ALL INDIA MAZDOOR PARTY (RANGRETA)",1182,553801801,0.0000
"NATIONAL YOUTH PARTY",1176,553801801,0.0000
"BAHUJAN KRANTI PARTY (MARXWAD-AMBEDKARWAD)",1174,553801801,0.0000
"BHARTIYA VIKAS PARTY",1152,553801801,0.0000
"RASHTRIYA JANMORCHA",1145,553801801,0.0000
"BHARTIYA JANTA DAL (INTEGRATED)",1118,553801801,0.0000
"RASHTRIYA GARIB DAL",1111,553801801,0.0000
"INDIAN JUSTICE PARTY",1103,553801801,0.0000
"BHARATIYA SAMAJ DAL",1096,553801801,0.0000
"VOTERS PARTY",1089,553801801,0.0000
"AKHIL BHARATIYA MANAVATA PAKSHA",1077,553801801,0.0000
"THE RELIGION OF MAN REVOLVING POLITICAL PARTY OF INDIA",1071,553801801,0.0000
"INDIAN BAHUJAN SAMAJWADI PARTY",1059,553801801,0.0000
"RASHTRIYA SHOSHIT SAMAJ PARTY",1054,553801801,0.0000
"AKHIL BHARTIYA AAMJAN PARTY",1040,553801801,0.0000
"HIMACHAL SWABHIMAN PARTY",997,553801801,0.0000
"MANAVADHIKAR JANSHAKTI PARTY",997,553801801,0.0000
"MAJLIS MARKAZ-E-SIYASEE PARTY",959,553801801,0.0000
"DALIT VIKAS PARTY(BHARAT)",950,553801801,0.0000
"SHIVRAJYA PARTY",944,553801801,0.0000
"UNION PARTY OF INDIA",944,553801801,0.0000
"JANRAL SAMAJ PARTY",944,553801801,0.0000
"AAZADI KA ANTIM AANDOLAN DAL",937,553801801,0.0000
"RASHTRIYA MORCHA PARTY",927,553801801,0.0000
