CANDIDATE,PARTY,CONSTITUENCY,VOTES
"VINOD KHANNA","BHARATIYA JANATA PARTY",GURDASPUR,482255
"SRINIVASA REDDY REDDEPPAGARI","TELUGU DESAM",KADAPA,481660
"DEVENDRA SINGH @ BHOLE SINGH","BHARATIYA JANATA PARTY",AKBARPUR,481584
ARUNMOZHITHEVAN.A,"ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",CUDDALORE,481429
"BODHSINGH BHAGAT","BHARATIYA JANATA PARTY",BALAGHAT,480594
"ASHOK KUMAR.K","ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",KRISHNAGIRI,480491
"SALEEM AHMED","INDIAN NATIONAL CONGRESS",HAVERI,479219
"DINESH TRIVEDI","ALL INDIA TRINAMOOL CONGRESS",BARRACKPORE,479206
"JANAK RAM","BHARATIYA JANATA PARTY","GOPALGANJ (SC)",478773
"LAXMI R. HEBBALKAR","INDIAN NATIONAL CONGRESS",BELGAUM,478557
"POONAM MAHAJAN ALIAS POONAM VAJENDLA RAO","BHARATIYA JANATA PARTY","MUMBAI NORTH CENTRAL",478535
"GAWALI BHAVANA PUNDLIKRAO",SHIVSENA,YAVATMAL-WASHIM,477905
"VISHNU DAYAL RAM","BHARATIYA JANATA PARTY",PALAMAU,476513
"Y.S VIJAYAMMA","YUVAJANA SRAMIKA RYTHU CONGRESS PARTY",VISAKHAPATNAM,476344
"SENTHILNATHAN PR","ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",SIVAGANGA,475993
"RITI PATHAK","BHARATIYA JANATA PARTY",SIDHI,475678
"OMKAR SINGH MARKAM","INDIAN NATIONAL CONGRESS",MANDLA,475251
"RAJVEER SINGH (RAJU BHAIYA)","BHARATIYA JANATA PARTY",ETAH,474978
"NAGENDRA SINGH","BHARATIYA JANATA PARTY",KHAJURAHO,474966
"DR.MURLI MANOHAR JOSHI","BHARATIYA JANATA PARTY",KANPUR,474712
"PRAKASH BABANNA HUKKERI","INDIAN NATIONAL CONGRESS",CHIKKODI,474373
"PINIPE VISWARUPU","YUVAJANA SRAMIKA RYTHU CONGRESS PARTY",AMALAPURAM,473971
"RAGHAV LAKHANPAL","BHARATIYA JANATA PARTY",SAHARANPUR,472999
"BUTTA RENUKA","YUVAJANA SRAMIKA RYTHU CONGRESS PARTY",KURNOOL,472782
"GAVIT MANIKRAO HODLYA","INDIAN NATIONAL CONGRESS",NANDURBAR,472581
"ADAGOORU H VISHWANATH","INDIAN NATIONAL CONGRESS",MYSORE,472300
"GUTHA SUKHENDER REDDY","INDIAN NATIONAL CONGRESS",NALGONDA,472093
"RAMESH JIGAJINAGI","BHARATIYA JANATA PARTY",BIJAPUR,471757
PANKAJ,"BHARATIYA JANATA PARTY",MAHARAJGANJ,471542
"KATTI RAMESH VISHWANATH","BHARATIYA JANATA PARTY",CHIKKODI,471370
"SEKH IBRAHIM ALI","COMMUNIST PARTY OF INDIA (MARXIST)",TAMLUK,470447
"AJAY NISHAD","BHARATIYA JANATA PARTY",MUZAFFARPUR,469295
"SUBRAT PATHAK","BHARATIYA JANATA PARTY",KANNAUJ,469257
"DR. MRIGANKA MAHATO","ALL INDIA TRINAMOOL CONGRESS",PURULIA,468277
"ANBUMANI RAMADOSS","PATTALI MAKKAL KATCHI",DHARMAPURI,468194
"SHANKERSINH VAGHELA BAPU","INDIAN NATIONAL CONGRESS",SABARKANTHA,467750
B.N.CHANDRAPPA,"INDIAN NATIONAL CONGRESS",CHITRADURGA,467511
"RAJEEV SHANKARRAO SATAV","INDIAN NATIONAL CONGRESS",HINGOLI,467397
"RANJIT SINGH BRAHMPURA","SHIROMANI AKALI DAL","KHADOOR SAHIB",467332
"ADSUL ANANDRAO VITHOBA",SHIVSENA,AMRAVATI,467212
"SELVAKUMARA CHINNAYAN S","ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",ERODE,466995
"SACHIN PILOT","INDIAN NATIONAL CONGRESS",AJMER,465891
"WANKHEDE SUBHASH BAPURAO",SHIVSENA,HINGOLI,465765
"VIKRAM DEV USENDI","BHARATIYA JANATA PARTY",KANKER,465215
"GAJANAN CHANDRAKANT KIRTIKAR",SHIVSENA,"MUMBAI NORTH WEST",464820
"SADABHAU RAMCHANDRA KHOT","SWABHIMANI PAKSHA",MADHA,464645
"BIDYUT BARAN MAHATO","BHARATIYA JANATA PARTY",JAMSHEDPUR,464153
"GOPALAKRISHNAN C.","ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",NILGIRIS,463700
"KIRIP CHALIHA","INDIAN NATIONAL CONGRESS",MANGALDOI,463473
"BODDU VENKATARAMANA CHOWDARY","YUVAJANA SRAMIKA RYTHU CONGRESS PARTY",RAJAHMUNDRY,463139
"MARUTHARAJAA R.P.","ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",PERAMBALUR,462693
"KULDEEP BISHNOI","HARYANA JANHIT CONGRESS (BL)",HISAR,462631
"AWADE KALLAPPA BABURAO","INDIAN NATIONAL CONGRESS",HATKANANGLE,462618
"K C VENUGOPAL","INDIAN NATIONAL CONGRESS",ALAPPUZHA,462525
"SATABDI ROY","ALL INDIA TRINAMOOL CONGRESS",BIRBHUM,460568
"ISWAR CHANDRA DAS","COMMUNIST PARTY OF INDIA (MARXIST)","BARDHAMAN PURBA",460181
"BHAGWANTH KHUBA","BHARATIYA JANATA PARTY",BIDAR,459290
"SUJAN CHAKRABORTY","COMMUNIST PARTY OF INDIA (MARXIST)",JADAVPUR,459041
KUMAR.P,"ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",TIRUCHIRAPPALLI,458478
"ARUN SUBHASH CHANDRA YADAV","INDIAN NATIONAL CONGRESS",KHANDWA,457643
"PATEL PRAFUL MANOHARBHAI","NATIONALIST CONGRESS PARTY",BHANDARA,456875
"SUNIL JAKHAR","INDIAN NATIONAL CONGRESS",FIROZPUR,456512
"DHOTRE SANJAY SHAMRAO","BHARATIYA JANATA PARTY",AKOLA,456472
"KAMAKHYA PRASAD TASA","BHARATIYA JANATA PARTY",JORHAT,456420
"SHANTA KUMAR","BHARATIYA JANATA PARTY",KANGRA,456163
"RAMVILAS PASWAN","LOK JAN SHAKTI PARTY","HAJIPUR (SC)",455652
"KAUSHAL KISHORE","BHARATIYA JANATA PARTY",MOHANLALGANJ,455274
"AJAY KUMAR SARNAIK","INDIAN NATIONAL CONGRESS",BAGALKOT,454988
"VANKA RAVINDRANATH","YUVAJANA SRAMIKA RYTHU CONGRESS PARTY",NARSAPURAM,454955
"PRIYANKA SINGH RAWAT","BHARATIYA JANATA PARTY",BARABANKI,454214
R.GOPALAKRISHNAN,"ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",MADURAI,454167
"UMANG SINGHAR","INDIAN NATIONAL CONGRESS",DHAR,454059
"BASAVARAJ HITNAL","INDIAN NATIONAL CONGRESS",KOPPAL,453969
"KUNWAR PUSHPENDRA SINGH CHANDEL","BHARATIYA JANATA PARTY",HAMIRPUR,453884
"KALIKESH NARAYAN SINGH DEO","BIJU JANATA DAL",BOLANGIR,453519
"MEENAKASHI LEKHI","BHARATIYA JANATA PARTY","NEW DELHI",453350
"TATHAGATA SATPATHY","BIJU JANATA DAL",DHENKANAL,453277
"ANAND KUMAR","AAM AADMI PARTY","NORTH EAST DELHI",452041
"MAHADEV JAGANNATH JANKAR","RASHTRIYA SAMAJ PAKSHA",BARAMATI,451843
"BHAMBALE VIJAY MANIKRAO","NATIONALIST CONGRESS PARTY",PARBHANI,451300
"PROF. SADHU SINGH","AAM AADMI PARTY",FARIDKOT,450751
"N.Y. HANUMANTAPPA","INDIAN NATIONAL CONGRESS",BELLARY,449262
"MANASH BORAH","INDIAN NATIONAL CONGRESS",GAUHATI,449201
"RAM TAHAL CHOUDHARY","BHARATIYA JANATA PARTY",RANCHI,448729
"DR. BOORA NARSAIAH GOUD","TELANGANA RASHTRA SAMITHI",BHONGIR,448245
"ANURAG SINGH THAKUR","BHARATIYA JANATA PARTY",HAMIRPUR,448035
"SINHA TAPAS","COMMUNIST PARTY OF INDIA (MARXIST)",KANTHI,447259
"SK. SAIDUL HAQUE","COMMUNIST PARTY OF INDIA (MARXIST)",BURDWAN,447190
"MALA RAJYA LAXMI SHAH","BHARATIYA JANATA PARTY","TEHRI GARHWAL",446733
"RAM PRASAD SARMAH","BHARATIYA JANATA PARTY",TEZPUR,446511
"ARTI SINGH","INDIAN NATIONAL CONGRESS",RAIGARH,445728
"IJYARAJ SINGH","INDIAN NATIONAL CONGRESS",KOTA,444040
B.V.NAYAK,"INDIAN NATIONAL CONGRESS",RAICHUR,443659
"GOURAV GOGOI","INDIAN NATIONAL CONGRESS",KALIABOR,443315
"CHOUDHARY CHANDRABHAN KUBER SINGH","BHARATIYA JANATA PARTY",CHHINDWARA,443218
"JAGATHRAKSHAKAN S. THIRU","DRAVIDA MUNNETRA KAZHAGAM",SRIPERUMBUDUR,443174
"C B CHANDRABABU","COMMUNIST PARTY OF INDIA (MARXIST)",ALAPPUZHA,443118
"NARENDRA SINGH TOMAR","BHARATIYA JANATA PARTY",GWALIOR,442796
V.SATHYABAMA,"ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",TIRUPPUR,442778
"ARAKERA SHIVANAGOUDA NAYAK","BHARATIYA JANATA PARTY",RAICHUR,442160
"DR.SHRIKANT EKNATH SHINDE",SHIVSENA,KALYAN,440892
"ASHOK KUMAR DOHAREY","BHARATIYA JANATA PARTY",ETAWAH,439646
"DIPAK KUMAR ROY","ALL INDIA FORWARD BLOC","COOCH BEHAR",439392
"KALVAKUNTLA KAVITHA","TELANGANA RASHTRA SAMITHI",NIZAMABAD,439307
"PRASANNA KUMAR PATASANI","BIJU JANATA DAL",BHUBANESWAR,439252
"DR. BANSHILAL MAHTO","BHARATIYA JANATA PARTY",KORBA,439002
"TAPAS PAUL","ALL INDIA TRINAMOOL CONGRESS",KRISHNANAGAR,438789
"DR. J. JAYAVARDHAN","ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM","CHENNAI SOUTH",438404
"BANDARU DATTATREYA","BHARATIYA JANATA PARTY",SECUNDRABAD,438271
"RAM CHARITRA NISHAD","BHARATIYA JANATA PARTY",MACHHLISHAHR,438210
"RAM DEV RAM","INDIAN NATIONAL CONGRESS",SARGUJA,438100
"DR. HARSH VARDHAN","BHARATIYA JANATA PARTY","CHANDNI CHOWK",437938
"E. AHAMED","INDIAN UNION MUSLIM LEAGUE",MALAPPURAM,437723
"KANTILAL BHURIA","INDIAN NATIONAL CONGRESS",RATLAM,437523
"DR. ABUL HASNAT","COMMUNIST PARTY OF INDIA (MARXIST)","DIAMOND HARBOUR",437183
"KACHHADIYA NARANBHAI BHIKHABHAI","BHARATIYA JANATA PARTY",AMRELI,436715
"ANUPRIYA SINGH PATEL","APNA DAL",MIRZAPUR,436536
"KONDA VISHWESHWAR REDDY","TELANGANA RASHTRA SAMITHI",CHELVELLA,435077
"CHARAN DAS MAHANT","INDIAN NATIONAL CONGRESS",KORBA,434737
"SAKUNTALA LAGURI","BIJU JANATA DAL",KEONJHAR,434471
"GOPAL. DR. K","ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",NAGAPATTINAM,434174
"RABINDRA KUMAR JENA","BIJU JANATA DAL",BALASORE,433768
"REVUNAIK BELAMAGI","BHARATIYA JANATA PARTY",GULBARGA,432460
"SADHVI SAVITRI BAI FOOLE","BHARATIYA JANATA PARTY",BAHRAICH,432392
"HARI OM PANDEY","BHARATIYA JANATA PARTY","AMBEDKAR NAGAR",432104
"VINAY KULKARNI","INDIAN NATIONAL CONGRESS",DHARWAD,431738
"NAGARAJAN P.","ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",COIMBATORE,431717
"SUBRATA BAKSHI","ALL INDIA TRINAMOOL CONGRESS","KOLKATA DAKSHIN",431715
"TARIQ ANWAR","NATIONALIST CONGRESS PARTY",KATIHAR,431292
"GODAM NAGESH","TELANGANA RASHTRA SAMITHI",ADILABAD,430847
"FOOLODEVI NETAM","INDIAN NATIONAL CONGRESS",KANKER,430057
MUDDAHANUMEGOWDA.S.P.,"INDIAN NATIONAL CONGRESS",TUMKUR,429868
"VENKATA SWETHA CHALAPATHI KUMARA KRISHNA RANGARAO RAVU","YUVAJANA SRAMIKA RYTHU CONGRESS PARTY",VIZIANAGARAM,429638
"CHANDRAKASI M","ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",CHIDAMBARAM,429536
"SUSMITA BAURI","COMMUNIST PARTY OF INDIA (MARXIST)",BISHNUPUR,429185
"B.T. NAIDU","TELUGU DESAM",KURNOOL,428651
"REDDY SHANTHI","YUVAJANA SRAMIKA RYTHU CONGRESS PARTY",SRIKAKULAM,428591
"BHOLA SINGH","BHARATIYA JANATA PARTY",BEGUSARAI,428227
"NARANBHAI JEMALABHAI RATHVA","INDIAN NATIONAL CONGRESS","CHHOTA UDAIPUR",428187
"P K SREEMATHI TEACHER","COMMUNIST PARTY OF INDIA (MARXIST)",KANNUR,427622
"SOLANKI BHARATBHAI MADHAVSINH","INDIAN NATIONAL CONGRESS",ANAND,427403
"D. PURANDESWARI","BHARATIYA JANATA PARTY",RAJAMPET,426990
"BADARUDDOZA KHAN","COMMUNIST PARTY OF INDIA (MARXIST)",MURSHIDABAD,426947
"A. R. KRISHNA MURTHY","BHARATIYA JANATA PARTY",CHAMARAJANAGAR,426600
BABULAL,"BHARATIYA JANATA PARTY","FATEHPUR SIKRI",426589
"GHULAM NABI AZAD","INDIAN NATIONAL CONGRESS",UDHAMPUR,426393
"PRADIP SAHA","COMMUNIST PARTY OF INDIA (MARXIST)",HOOGHLY,425228
"MAHENDRA KUMAR ROY","COMMUNIST PARTY OF INDIA (MARXIST)",JALPAIGURI,425167
"SANTOSH RANA","COMMUNIST PARTY OF INDIA",GHATAL,424805
"M VEERAPPA MOILY","INDIAN NATIONAL CONGRESS",CHIKKBALLAPUR,424800
VASANTHI.M,"ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",TENKASI,424586
"JOSE K. MANI","KERALA CONGRESS (M)",KOTTAYAM,424194
"RAGHUVIR SINGH","INDIAN NATIONAL CONGRESS",UDAIPUR,423611
"DR. SATYA PAL SINGH","BHARATIYA JANATA PARTY",BAGHPAT,423475
"DR. VIRENDRA KUMAR","BHARATIYA JANATA PARTY",TIKAMGARH,422979
"PONGULETI SRINIVASA REDDY","YUVAJANA SRAMIKA RYTHU CONGRESS PARTY",KHAMMAM,421957
"HEMENDRA CHANDRA SINGH","BIJU JANATA DAL",KANDHAMAL,421458
"MUNIRAJU GOWDA . P","BHARATIYA JANATA PARTY","BANGALORE RURAL",421243
"K SUDHAKARAN","INDIAN NATIONAL CONGRESS",KANNUR,421056
"PROF. S.P. SINGH BAGHEL","BHARATIYA JANATA PARTY",FIROZABAD,420524
"YELLAIAH NANDI","INDIAN NATIONAL CONGRESS",NAGARKURNOOL,420075
"BABUL SUPRIYA BARAL (BABUL SUPRIYO)","BHARATIYA JANATA PARTY",ASANSOL,419983
"RIZWAN ARSHAD","INDIAN NATIONAL CONGRESS","BANGALORE CENTRAL",419630
K.H.MUNIYAPPA,"INDIAN NATIONAL CONGRESS",KOLAR,418926
"SANTOSH KUMAR","JANATA DAL (UNITED)",PURNIA,418826
"RAJ KUMAR SAINI","BHARATIYA JANATA PARTY",KURUKSHETRA,418112
"KAMLESH PASWAN","BHARATIYA JANATA PARTY",BANSGAON,417959
"KOMATIREDDY RAJGOPAL REDDY","INDIAN NATIONAL CONGRESS",BHONGIR,417751
"RAJESH VERMA","BHARATIYA JANATA PARTY",SITAPUR,417546
MAHENDRAN.C,"ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",POLLACHI,417092
"MULLAPPALLY RAMACHANDRAN","INDIAN NATIONAL CONGRESS",VADAKARA,416479
"B N BACHE GOWDA","BHARATIYA JANATA PARTY",CHIKKBALLAPUR,415280
"C R CHOUDHARY","BHARATIYA JANATA PARTY",NAGAUR,414791
"RENUKA RAWAT","INDIAN NATIONAL CONGRESS",HARDWAR,414498
"DR MAHENDRA NATH PANDEY","BHARATIYA JANATA PARTY",CHANDAULI,414135
"KOTHAPALLI GEETHA","YUVAJANA SRAMIKA RYTHU CONGRESS PARTY",ARUKU,413191
ADV.A.N.SHAMSEER,"COMMUNIST PARTY OF INDIA (MARXIST)",VADAKARA,413173
"ASHOK SINGH","INDIAN NATIONAL CONGRESS",GWALIOR,413097
"M B RAJESH","COMMUNIST PARTY OF INDIA (MARXIST)",PALAKKAD,412897
"MOHAMMED AZHARUDDIN","INDIAN NATIONAL CONGRESS","TONK-SAWAI MADHOPUR",412868
"ANJU BALA","BHARATIYA JANATA PARTY",MISRIKH,412575
P.K.BIJU,"COMMUNIST PARTY OF INDIA (MARXIST)",ALATHUR,411808
"D. B. PATIL","BHARATIYA JANATA PARTY",NANDED,411620
"RAM KUMAR SHARMA","RASHTRIYA LOK SAMTA PARTY",SITAMARHI,411265
"KAPIL MORESHWAR PATIL","BHARATIYA JANATA PARTY",BHIWANDI,411070
"FEROZE VARUN GANDHI","BHARATIYA JANATA PARTY",SULTANPUR,410348
"NAMA NAGESWARA RAO","TELUGU DESAM",KHAMMAM,409983
"DHARMENDRA KUMAR","BHARATIYA JANATA PARTY",AONLA,409907
"KISHANBHAI VESTABHAI PATEL","INDIAN NATIONAL CONGRESS",VALSAD,409768
"ARPITA GHOSH","ALL INDIA TRINAMOOL CONGRESS",BALURGHAT,409641
"MANJU. A.","INDIAN NATIONAL CONGRESS",HASSAN,409379
"RAHUL GANDHI","INDIAN NATIONAL CONGRESS",AMETHI,408651
N.K.PREMACHANDRAN,"REVOLUTIONARY SOCIALIST PARTY",KOLLAM,408528
"ABDUL MANNAN HOSSAIN","INDIAN NATIONAL CONGRESS",MURSHIDABAD,408494
"TASLEEM UDDIN","RASHTRIYA JANATA DAL",ARARIA,407978
"IMRAN MASOOD","INDIAN NATIONAL CONGRESS",SAHARANPUR,407909
"KAMLESHWAR VERMA","INDIAN NATIONAL CONGRESS",RAJNANDGAON,407562
"JAYANT SINHA","BHARATIYA JANATA PARTY",HAZARIBAGH,406931
"VENKATESH BABU .T.G","ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM","CHENNAI NORTH",406704
"RADHAKRISHNAN T","ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",VIRUDHUNAGAR,406694
"PRASHANT R DESHPANDE","INDIAN NATIONAL CONGRESS","UTTARA KANNADA",406239
"MUKESH RAJPUT","BHARATIYA JANATA PARTY",FARRUKHABAD,406195
"ANWHAR RAAJHAA.A","ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",RAMANATHAPURAM,405945
"(MAJ GEN (RETD.) ) BHUWAN CHANDRA KHANDURI (AVSM)","BHARATIYA JANATA PARTY",GARHWAL,405690
"SAJJAN SINGH VERMA","INDIAN NATIONAL CONGRESS",DEWAS,405333
"NANDAN NILEKANI","INDIAN NATIONAL CONGRESS","BANGALORE SOUTH",405241
"DEBESH DAS","COMMUNIST PARTY OF INDIA (MARXIST)",BANGAON,404612
"DHARAMBIR S/O BHALE RAM","BHARATIYA JANATA PARTY",BHIWANI-MAHENDRAGARH,404542
"DR. BHAGIRATH PRASAD","BHARATIYA JANATA PARTY",BHIND,404474
"VIRENDRA SINGH","BHARATIYA JANATA PARTY",BHADOHI,403544
"DR. MANDA JAGANNATH","TELANGANA RASHTRA SAMITHI",NAGARKURNOOL,403399
"KODIKUNNIL SURESH","INDIAN NATIONAL CONGRESS",MAVELIKKARA,402432
"MANOJ RAJORIA","BHARATIYA JANATA PARTY",KARAULI-DHOLPUR,402407
"PRAKASH RATHOD","INDIAN NATIONAL CONGRESS",BIJAPUR,401938
"SAKTIMOHAN MALIK","COMMUNIST PARTY OF INDIA (MARXIST)",ARAMBAGH,401919
"JASWANT SINGH",INDEPENDENT,BARMER,401286
"RADHA MOHAN SINGH","BHARATIYA JANATA PARTY","PURVI CHAMPARAN",400452
"K JAYAPRAKASH HEGDE","INDIAN NATIONAL CONGRESS","UDUPI CHIKMAGALUR",399525
"AMRISHBHAI RASIKLAL PATEL","INDIAN NATIONAL CONGRESS",DHULE,398727
"AJAY KUMAR","BHARATIYA JANATA PARTY",KHERI,398578
PRABAKARAN.K.R.P,"ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",TIRUNELVELI,398139
"SIDHANT MOHAPATRA","BIJU JANATA DAL",BERHAMPUR,398107
"DR S T HASAN","SAMAJWADI PARTY",MORADABAD,397720
"M .K RAGHAVAN","INDIAN NATIONAL CONGRESS",KOZHIKODE,397615
"JAIBHANSINGH PAWAIYA","BHARATIYA JANATA PARTY",GUNA,396244
"ANANT GEETE",SHIVSENA,RAIGAD,396178
"RAJEEV APPASAHEB RAJALE","NATIONALIST CONGRESS PARTY",AHMADNAGAR,396063
"PATEL JAYESHBHAI AMBALALBHAI (JAYESH KAKA)","INDIAN NATIONAL CONGRESS",BHARUCH,395629
"PRABODH PANDA","COMMUNIST PARTY OF INDIA",MEDINIPUR,395194
"JHINA HIKAKA","BIJU JANATA DAL",KORAPUT,395109
"SIRAJ UDDIN AJMAL","ALL INDIA UNITED DEMOCRATIC FRONT",BARPETA,394702
"MEENAKSHI NATARAJAN","INDIAN NATIONAL CONGRESS",MANDSOUR,394686
"DOME RAMCHANDRA","COMMUNIST PARTY OF INDIA (MARXIST)",BOLPUR,394581
"PRAMOD BHAYA","INDIAN NATIONAL CONGRESS",JHALAWAR-BARAN,394556
"TATKARE SUNIL DATTATREY","NATIONALIST CONGRESS PARTY",RAIGAD,394068
"RAMA CHANDRA HANSDAH","BIJU JANATA DAL",MAYURBHANJ,393779
"DR. ELAHI KAMRE MAHAMMAD","COMMUNIST PARTY OF INDIA (MARXIST)",BIRBHUM,393305
"DR.A .SAMPATH","COMMUNIST PARTY OF INDIA (MARXIST)",ATTINGAL,392478
"DHARANIDHAR NAYAK","INDIAN NATIONAL CONGRESS",KENDRAPARA,392466
"RAVINDRA KUSHAWAHA","BHARATIYA JANATA PARTY",SALEMPUR,392213
"RAVINDRA KUMAR PANDEY","BHARATIYA JANATA PARTY",GIRIDIH,391913
"RAMESH PATEL","INDIAN NATIONAL CONGRESS",KHARGONE,391475
"RAJ KUMAR SINGH","BHARATIYA JANATA PARTY",ARRAH,391074
MOHAN.P.S,"ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",DHARMAPURI,391048
"COL DEVINDER SEHRAWAT","AAM AADMI PARTY","SOUTH DELHI",390980
"ASHOK TANWAR","INDIAN NATIONAL CONGRESS",SIRSA,390634
"GIRIRAJ SINGH","BHARATIYA JANATA PARTY",NAWADA,390248
"RADHAKRISHNAN C.P.","BHARATIYA JANATA PARTY",COIMBATORE,389701
"C. N. JAYADEVAN","COMMUNIST PARTY OF INDIA",THRISSUR,389209
"ARCHANA BISWAS","COMMUNIST PARTY OF INDIA (MARXIST)",RANAGHAT,388684
"MAUSAM NOOR","INDIAN NATIONAL CONGRESS","MALDAHA UTTAR",388609
"SATYANARAYAN PATEL","INDIAN NATIONAL CONGRESS",INDORE,388071
"GIRIJA VYAS","INDIAN NATIONAL CONGRESS",CHITTORGARH,386379
"SUBHAS NASKAR","REVOLUTIONARY SOCIALIST PARTY",JOYNAGAR,386362
"VIRENDER KASHYAP","BHARATIYA JANATA PARTY",SHIMLA,385973
"DINESH KASHYAP","BHARATIYA JANATA PARTY",BASTAR,385829
"DR. CHANDRAPAL SINGH YADAV","SAMAJWADI PARTY",JHANSI,385422
"P KARUNAKARAN","COMMUNIST PARTY OF INDIA (MARXIST)",KASARAGOD,384964
"KARUNA SHUKLA","INDIAN NATIONAL CONGRESS",BILASPUR,384951
"ACHARIA BASUDEB","COMMUNIST PARTY OF INDIA (MARXIST)",BANKURA,384949
"AUTADE VILAS KESHAVRAO","INDIAN NATIONAL CONGRESS",JALNA,384630
"HINA LIKHIRAM KAWRE","INDIAN NATIONAL CONGRESS",BALAGHAT,384553
"ADV.SHIVAJIRAO SHIVARAMJI MOGHE","INDIAN NATIONAL CONGRESS",YAVATMAL-WASHIM,384089
"ASHOK CHANDNA","INDIAN NATIONAL CONGRESS",BHILWARA,384053
"SENGUTTUVAN B.","ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",VELLORE,383719
"JANARDAN MISHRA","BHARATIYA JANATA PARTY",REWA,383320
"RAM KRIPAL YADAV","BHARATIYA JANATA PARTY",PATALIPUTRA,383262
"PRABHAS KUMAR SINGH","BIJU JANATA DAL",BARGARH,383230
"JARNAIL SINGH","AAM AADMI PARTY","WEST DELHI",382809
"NURUL HUDA","COMMUNIST PARTY OF INDIA",BASIRHAT,382667
"GANDHIRAJAN S","DRAVIDA MUNNETRA KAZHAGAM",DINDIGUL,382617
"ADV.JOICE GEORGE",INDEPENDENT,IDUKKI,382019
"RAJMOHAN GANDHI","AAM AADMI PARTY","EAST DELHI",381739
"BRIJ BHUSAN SHARAN SINGH","BHARATIYA JANATA PARTY",KAISERGANJ,381500
"RAHUL RAMESH SHEWALE",SHIVSENA,"MUMBAI SOUTH CENTRAL",381275
A.VIJAYARAGHAVAN,"COMMUNIST PARTY OF INDIA (MARXIST)",KOZHIKODE,380732
"NISHIKANT DUBEY","BHARATIYA JANATA PARTY",GODDA,380500
"SANTOKH SINGH CHAUDHARY","INDIAN NATIONAL CONGRESS",JALANDHAR,380479
"ABU HASEM KHAN CHOWDHURY","INDIAN NATIONAL CONGRESS","MALDAHA DAKSHIN",380291
"ARUN JAITLEY","BHARATIYA JANATA PARTY",AMRITSAR,380106
"RATHOD BHAVSINHBHAI DAHYABHAI","INDIAN NATIONAL CONGRESS",PATAN,379819
"HARINARAYAN RAJBHAR","BHARATIYA JANATA PARTY",GHOSI,379797
"VIJAY KUMAR HANSDAK","JHARKHAND MUKTI MORCHA",RAJMAHAL,379507
"E. T. MOHAMMED BASHEER","INDIAN UNION MUSLIM LEAGUE",PONNANI,378503
CHHOTELAL,"BHARATIYA JANATA PARTY",ROBERTSGANJ,378211
"ABHIJIT MUKHERJEE","INDIAN NATIONAL CONGRESS",JANGIPUR,378201
"ADV. T SIDDIQUE","INDIAN NATIONAL CONGRESS",KASARAGOD,378043
"PUNJABHAI BHIMABHAI VANSH","INDIAN NATIONAL CONGRESS",JUNAGADH,377347
"M I SHANAVAS","INDIAN NATIONAL CONGRESS",WAYANAD,377035
"KUWAR HARIVANSH SINGH","APNA DAL",PRATAPGARH,375789
"GIRIDHAR GAMANG","INDIAN NATIONAL CONGRESS",KORAPUT,375781
"ANOOP MISHRA","BHARATIYA JANATA PARTY",MORENA,375567
"GANESH SINGH","BHARATIYA JANATA PARTY",SATNA,375288
LAKKHIRAM,"INDIAN NATIONAL CONGRESS",KARAULI-DHOLPUR,375191
"KUNVARJIBHAI MOHANBHAI BAVALIYA","INDIAN NATIONAL CONGRESS",RAJKOT,375096
"ARVIND SAWANT",SHIVSENA,"MUMBAI SOUTH",374780
SHEEBA,"INDIAN NATIONAL CONGRESS",ALATHUR,374496
"BALABHADRA MAJHI","BIJU JANATA DAL",NABARANGPUR,373887
"PATIL PADMASINHA BAJIRAO","NATIONALIST CONGRESS PARTY",OSMANABAD,373374
"RADHAKRISHNAN P.","BHARATIYA JANATA PARTY",KANNIYAKUMARI,372906
"OM PRAKASH YADAV","BHARATIYA JANATA PARTY",SIWAN,372670
"RAMA DEVI","BHARATIYA JANATA PARTY",SHEOHAR,372506
"PATIL PRATIK PRAKASHBAPU","INDIAN NATIONAL CONGRESS",SANGLI,372271
"SUBASH CHOUHAN","BHARATIYA JANATA PARTY",BARGARH,372052
