CANDIDATE,PARTY,CONSTITUENCY,VOTES
"SANJAYKAKA PATIL","BHARATIYA JANATA PARTY",SANGLI,611563
"RAMSINH RATHWA","BHARATIYA JANATA PARTY","CHHOTA UDAIPUR",607916
"GAIKWAD RAVINDRA VISHWANATH",SHIVSENA,OSMANABAD,607699
"DHANANJAY BHIMRAO MAHADIK","NATIONALIST CONGRESS PARTY",KOLHAPUR,607665
"J.C. DIVAKAR REDDI","TELUGU DESAM",ANANTAPUR,606509
"B. S. YEDDYURAPPA","BHARATIYA JANATA PARTY",SHIMOGA,606216
"NANABHAU FALGUNRAO PATOLE","BHARATIYA JANATA PARTY",BHANDARA,606129
"KHADASE RAKSHA NIKHIL","BHARATIYA JANATA PARTY",RAVER,605452
"GANDHI DILIPKUMAR MANSUKHLAL","BHARATIYA JANATA PARTY",AHMADNAGAR,605185
"BHOLA SINGH","BHARATIYA JANATA PARTY",BULANDSHAHR,604449
"KRISTAPPA NIMMALA","TELUGU DESAM",HINDUPUR,604291
"P.V.MIDHUN REDDY","YUVAJANA SRAMIKA RYTHU CONGRESS PARTY",RAJAMPET,601752
"BAIJAYANT PANDA","BIJU JANATA DAL",KENDRAPARA,601574
"DR.MAHESH SHARMA","BHARATIYA JANATA PARTY","GAUTAM BUDDHA NAGAR",599702
"AYODHYA RAMIREDDY ALLA","YUVAJANA SRAMIKA RYTHU CONGRESS PARTY",NARASARAOPET,597184
"RODMAL NAGAR","BHARATIYA JANATA PARTY",RAJGARH,596727
"MANOJ TIWARI","BHARATIYA JANATA PARTY","NORTH EAST DELHI",596125
"MULAYAM SINGH YADAV","SAMAJWADI PARTY",MAINPURI,595918
"RAHUL KASWAN","BHARATIYA JANATA PARTY",CHURU,595756
"VICHARE RAJAN BABURAO",SHIVSENA,THANE,595364
"NARAMALLI SIVAPRASAD","TELUGU DESAM",CHITTOOR,594862
"ASHWINI KUMAR","BHARATIYA JANATA PARTY",KARNAL,594817
"DR PANDULA RAVINDRA BABU","TELUGU DESAM",AMALAPURAM,594547
"KESINENI SRINIVAS","TELUGU DESAM",VIJAYAWADA,592696
"BADRUDDIN AJMAL","ALL INDIA UNITED DEMOCRATIC FRONT",DHUBRI,592569
"RAMESH POKHRIYAL NISHANK","BHARATIYA JANATA PARTY",HARDWAR,592320
"DANVE RAOSAHEB DADARAO","BHARATIYA JANATA PARTY",JALNA,591428
"TAPAS MANDAL","ALL INDIA TRINAMOOL CONGRESS",RANAGHAT,590451
"Y.V.SUBBA REDDY","YUVAJANA SRAMIKA RYTHU CONGRESS PARTY",ONGOLE,589960
"GADKARI NITIN JAIRAM","BHARATIYA JANATA PARTY",NAGPUR,587767
"KONAKALLA NARAYANA RAO","TELUGU DESAM",MACHILIPATNAM,587280
"FAGGAN SINGH KULASTE","BHARATIYA JANATA PARTY",MANDLA,585720
"KAMALBHAN SINGH MARABI","BHARATIYA JANATA PARTY",SARGUJA,585336
"ARJUN RAM MEGHWAL","BHARATIYA JANATA PARTY",BIKANER,584932
"SUGATA BOSE","ALL INDIA TRINAMOOL CONGRESS",JADAVPUR,584244
"DR. RAM SHANKAR KATHERIA","BHARATIYA JANATA PARTY",AGRA,583716
"ADHIR RANJAN CHOWDHURY","INDIAN NATIONAL CONGRESS",BAHARAMPUR,583549
"SHOBHA KARANDLAJE","BHARATIYA JANATA PARTY","UDUPI CHIKMAGALUR",581168
"NARENDRA MODI","BHARATIYA JANATA PARTY",VARANASI,581022
"DEVJI PATEL","BHARATIYA JANATA PARTY",JALORE,580508
"VARAPRASAD RAO VELAGAPALLI","YUVAJANA SRAMIKA RYTHU CONGRESS PARTY",TIRUPATI,580376
"PATEL JAYSHREEBEN KANUBHAI","BHARATIYA JANATA PARTY",MAHESANA,580250
"SANDHYA ROY","ALL INDIA TRINAMOOL CONGRESS",MEDINIPUR,579860
"BAHADUR SINGH","BHARATIYA JANATA PARTY",BHARATPUR,579825
"DR.GAVIT HEENA VAIJAYKUMAR","BHARATIYA JANATA PARTY",NANDURBAR,579486
"KHAN SAUMITRA","ALL INDIA TRINAMOOL CONGRESS",BISHNUPUR,578870
"JADHAV SANJAY (BANDU) HARIBHAU",SHIVSENA,PARBHANI,578455
"MALYADRI SRIRAM","TELUGU DESAM",BAPATLA,578145
"MANSHANKAR NINAMA","BHARATIYA JANATA PARTY",BANSWARA,577433
"MEKAPATI RAJAMOHAN REDDY","YUVAJANA SRAMIKA RYTHU CONGRESS PARTY",NELLORE,576396
"UMA BHARATI","BHARATIYA JANATA PARTY",JHANSI,575889
"SUNIL KUMAR MONDAL","ALL INDIA TRINAMOOL CONGRESS","BARDHAMAN PURBA",574660
"HEMA MALINI","BHARATIYA JANATA PARTY",MATHURA,574633
"SANJAY SADASHIV MANDALIK",SHIVSENA,KOLHAPUR,574406
"MAGUNTA SREENIVASULU REDDY","TELUGU DESAM",ONGOLE,574302
"MAHEISH GIRRI","BHARATIYA JANATA PARTY","EAST DELHI",572202
"GADDIGOUDAR PARVTAGOUDA CHANDANAGOUDA","BHARATIYA JANATA PARTY",BAGALKOT,571548
"PARTHIPAN R.","ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",THENI,571254
"SULTAN AHMED","ALL INDIA TRINAMOOL CONGRESS",ULUBERIA,570785
"TAMRADHWAJ SAHU","INDIAN NATIONAL CONGRESS",DURG,570687
"ANIL SHIROLE","BHARATIYA JANATA PARTY",PUNE,569825
"MUTTAMSETTI SRINIVASA RAO (AVANTHI)","TELUGU DESAM",ANAKAPALLI,568463
"CHAUHAN DEVUSINH JESINGBHAI (CHAUHAN DEVUSINH)","BHARATIYA JANATA PARTY",KHEDA,568235
"R. DHRUVANARAYANA","INDIAN NATIONAL CONGRESS",CHAMARAJANAGAR,567782
"KAMBHAMPATI HARI BABU","BHARATIYA JANATA PARTY",VISAKHAPATNAM,566832
"UDASI SHIVAKUMAR CHANNABASAPPA","BHARATIYA JANATA PARTY",HAVERI,566790
